Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1;1,76554185600253E-05;56639,8359375;9,9853515625;
2;0,990000009536743;1,30725029521273E-05;75731,484375;20,0546875;
3;0,980000019073486;1,06465404314804E-05;92048,6796875;30,1240234375;
4;0,970000028610229;8,43713587528327E-06;114967,9296875;50,2431640625;
5;0,959999978542328;7,3268097366963E-06;131025,6484375;60,3134765625;
6;0,949999988079071;6,45039608571096E-06;147277,78125;70,3837890625;
7;0,939999997615814;5,72730868952931E-06;164125,953125;80,4521484375;
8;0,930000007152557;5,11152938997839E-06;181941,640625;90,521484375;
9;0,920000016689301;4,57857368019177E-06;200935,9375;100,591796875;
10;0,910000026226044;4,1166958908434E-06;221051,0625;110,662109375;
11;0,899999976158142;3,70206134903128E-06;243107,796875;120,7294921875;
12;0,889999985694885;3,33753519043967E-06;266663,84375;130,7978515625;
13;0,879999995231628;3,01820045933709E-06;291564,46875;140,8662109375;
14;0,870000004768372;2,72233251052967E-06;319578,90625;150,935546875;
15;0,860000014305115;2,46201216214104E-06;349307,78125;161,0048828125;
16;0,850000023841858;2,22437961383548E-06;382129,03125;171,072265625;
17;0,839999973773956;2,01120042220282E-06;417661;181,140625;
18;0,829999983310699;1,81760822215438E-06;456644,0625;191,208984375;
19;0,819999992847443;1,63901449923287E-06;500300,625;201,27734375;
20;0,810000002384186;1,47694186125591E-06;548430,5;211,345703125;
21;0,800000011920929;1,32387276607915E-06;604287,6875;221,4150390625;
22;0,790000021457672;1,18012133043521E-06;669422,6875;231,4833984375;
23;0,779999971389771;1,03965408015938E-06;750249,5;241,552734375;
24;0,769999980926514;1,28705835322762E-06;598263,4375;281,779296875;
25;0,759999990463257;1,07051005215908E-06;709941,9375;291,84765625;
26;0,75;1,21543075692898E-06;617065,1875;332,0791015625;
27;0,740000009536743;1,08372728391259E-06;682828,625;342,1474609375;
28;0,730000019073486;1,00864860996808E-06;723740,6875;352,216796875;
29;0,720000028610229;1,04648938759055E-06;688014,625;372,3369140625;
30;0,709999978542328;9,64992636909301E-07;735756,875;382,4052734375;
31;0,699999988079071;9,13786436740338E-07;766043,3125;392,47265625;
32;0,689999997615814;8,7903089251995E-07;784955,375;402,541015625;
33;0,680000007152557;8,47003775561461E-07;802829,9375;412,6083984375;
34;0,670000016689301;8,22423601221089E-07;814665,375;422,6787109375;
35;0,660000026226044;7,96709684891539E-07;828407,1875;432,7470703125;
36;0,649999976158142;7,7282544452828E-07;841069,5625;442,81640625;
37;0,639999985694885;7,5270156685292E-07;850270,5625;452,884765625;
38;0,629999995231628;7,29094040252676E-07;864086,0625;462,955078125;
39;0,620000004768372;7,10056099251233E-07;873170,4375;473,0234375;
40;0,610000014305115;6,93315030275699E-07;879830,9375;483,091796875;
41;0,600000023841858;6,75330511512584E-07;888453,875;493,1591796875;
42;0,589999973773956;6,5903253698707E-07;895251,6875;503,2265625;
43;0,579999983310699;6,44887620637746E-07;899381,5;513,294921875;
44;0,569999992847443;6,29444798505574E-07;905559,9375;523,3623046875;
45;0,560000002384186;6,14354064509826E-07;911526,5;533,431640625;
46;0,550000011920929;6,01768022079341E-07;913973,5;543,5;
47;0,540000021457672;5,8508265965429E-07;922946,5625;553,5673828125;
48;0,529999971389771;5,71032785501302E-07;928142,8125;563,634765625;
49;0,519999980926514;5,5331611292786E-07;939788,25;573,7041015625;
50;0,509999990463257;5,36864149580651E-07;949961;583,7724609375;
51;0,5;5,20435264661501E-07;960734,3125;593,841796875;
52;0,490000009536743;4,98830047490628E-07;982298,5;603,91015625;
53;0,479999989271164;4,7890466703393E-07;1002287,125;613,978515625;
54;0,469999998807907;4,54013900252903E-07;1035210,5625;624,0478515625;
55;0,46000000834465;4,28813905273273E-07;1072726,375;634,1162109375;
56;0,449999988079071;4,00848108483842E-07;1122619,75;644,1845703125;
