item	Smu1_V(1)(1)	Smu1_I(1)(1)
1	-1	-3,98927E-05
2	-0,99000001	-3,8197E-05
3	-0,980000019	-3,711E-05
4	-0,970000029	-3,62255E-05
5	-0,959999979	-3,53798E-05
6	-0,949999988	-3,47115E-05
7	-0,939999998	-3,40843E-05
8	-0,930000007	-3,34248E-05
9	-0,920000017	-3,27669E-05
10	-0,910000026	-3,21529E-05
11	-0,899999976	-3,15528E-05
12	-0,889999986	-3,0943E-05
13	-0,879999995	-3,03753E-05
14	-0,870000005	-2,98489E-05
15	-0,860000014	-2,92692E-05
16	-0,850000024	-2,87332E-05
17	-0,839999974	-2,81973E-05
18	-0,829999983	-2,76738E-05
19	-0,819999993	-2,71395E-05
20	-0,810000002	-2,66414E-05
21	-0,800000012	-2,61069E-05
22	-0,790000021	-2,561E-05
23	-0,779999971	-2,51333E-05
24	-0,769999981	-2,46504E-05
25	-0,75999999	-2,41459E-05
26	-0,75	-2,36557E-05
27	-0,74000001	-2,31594E-05
28	-0,730000019	-2,26529E-05
29	-0,720000029	-2,21911E-05
30	-0,709999979	-2,17342E-05
31	-0,699999988	-2,12891E-05
32	-0,689999998	-2,08648E-05
33	-0,680000007	-2,04414E-05
34	-0,670000017	-2,00144E-05
35	-0,660000026	-1,96166E-05
36	-0,649999976	-1,92128E-05
37	-0,639999986	-1,88165E-05
38	-0,629999995	-1,84404E-05
39	-0,620000005	-1,80716E-05
40	-0,610000014	-1,77054E-05
41	-0,600000024	-1,73413E-05
42	-0,589999974	-1,69926E-05
43	-0,579999983	-1,66193E-05
44	-0,569999993	-1,62626E-05
45	-0,560000002	-1,59154E-05
46	-0,550000012	-1,55732E-05
47	-0,540000021	-1,52439E-05
48	-0,529999971	-1,4907E-05
49	-0,519999981	-1,45718E-05
50	-0,50999999	-1,42425E-05
51	-0,5	-1,39142E-05
52	-0,49000001	-1,35961E-05
53	-0,479999989	-1,32815E-05
54	-0,469999999	-1,29556E-05
55	-0,460000008	-1,2632E-05
56	-0,449999988	-1,23124E-05
57	-0,439999998	-1,19935E-05
58	-0,430000007	-1,16686E-05
