Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1;1,62595260917442E-05;61502,40625;9,984375;
2;0,990000009536743;1,0785124686663E-05;91793,1015625;20,0546875;
3;0,980000019073486;7,41950589144835E-06;132084,265625;40,1728515625;
4;0,970000028610229;6,20995797362411E-06;156200,734375;50,2431640625;
5;0,959999978542328;5,30273246113211E-06;181038,734375;60,3115234375;
6;0,949999988079071;4,60617457065382E-06;206244,890625;70,380859375;
7;0,939999997615814;4,04863385483623E-06;232177,078125;80,44921875;
8;0,930000007152557;3,58473289452377E-06;259433,5625;90,51953125;
9;0,920000016689301;3,18865045301209E-06;288523,3125;100,5888671875;
10;0,910000026226044;2,87299803858332E-06;316742,3125;110,6591796875;
11;0,899999976158142;2,59442686001421E-06;346897,40625;120,728515625;
12;0,889999985694885;2,34555432143679E-06;379441,21875;130,796875;
13;0,879999995231628;2,11811061490153E-06;415464,59375;140,865234375;
14;0,870000004768372;1,92030461221293E-06;453053,125;150,9345703125;
15;0,860000014305115;1,71249928371253E-06;502190;161,0029296875;
16;0,850000023841858;1,520532464383E-06;559014,6875;171,072265625;
17;0,839999973773956;1,33712785554962E-06;628212,1875;181,1416015625;
18;0,829999983310699;1,17336730909301E-06;707365,875;191,2099609375;
19;0,819999992847443;1,03220395430981E-06;794416,625;201,2783203125;
20;0,810000002384186;1,24244604648993E-06;651939,75;241,509765625;
21;0,800000011920929;1,02184321804089E-06;782899;251,578125;
22;0,790000021457672;1,01774537597521E-06;776225,625;271,6962890625;
23;0,779999971389771;8,53171911785466E-07;914235,4375;281,7646484375;
24;0,769999980926514;7,42132954201224E-07;1037549,9375;291,8330078125;
25;0,759999990463257;6,56368513318739E-07;1157886,125;301,9013671875;
26;0,75;6,01306737735285E-07;1247283,5;311,96875;
27;0,740000009536743;5,69201063171931E-07;1300067,875;322,037109375;
28;0,730000019073486;5,60986507025518E-07;1301279,125;332,1044921875;
29;0,720000028610229;5,84669066938659E-07;1231465,875;342,1708984375;
30;0,709999978542328;6,23647281372541E-07;1138464;352,2392578125;
31;0,699999988079071;6,54153893719922E-07;1070084,625;362,3076171875;
32;0,689999997615814;6,76643196584337E-07;1019739,8125;372,3740234375;
33;0,680000007152557;6,83794667111215E-07;994450,5625;382,44140625;
34;0,670000016689301;6,91547654696478E-07;968841,4375;392,509765625;
35;0,660000026226044;6,90478316300869E-07;955859,1875;402,5791015625;
36;0,649999976158142;6,91504112637631E-07;939979,9375;412,6474609375;
37;0,639999985694885;6,87295994339365E-07;931185,375;422,7138671875;
38;0,629999995231628;6,83268410739402E-07;922038,8125;432,7822265625;
39;0,620000004768372;6,76971126267745E-07;915844,0625;442,8515625;
40;0,610000014305115;6,68126176606165E-07;913001,25;452,91796875;
41;0,600000023841858;6,67697008793766E-07;898611,25;462,986328125;
42;0,589999973773956;6,578424631698E-07;896871,25;473,0546875;
43;0,579999983310699;6,47063245651225E-07;896357,5;483,1240234375;
44;0,569999992847443;6,3594569610359E-07;896302,9375;493,1943359375;
45;0,560000002384186;6,22007235051569E-07;900311,0625;503,263671875;
46;0,550000011920929;6,22313905296323E-07;883798,375;513,33203125;
47;0,540000021457672;6,09496225933981E-07;885977,625;523,3994140625;
48;0,529999971389771;5,99519808019977E-07;884040,8125;533,46875;
49;0,519999980926514;5,81705364766094E-07;893923,3125;543,5380859375;
50;0,509999990463257;5,6674912229937E-07;899869,0625;553,6064453125;
51;0,5;5,54036091671151E-07;902468,3125;563,67578125;
52;0,490000009536743;5,41142242127535E-07;905492,0625;573,74609375;
53;0,479999989271164;5,19730406267627E-07;923555,75;583,8154296875;
54;0,469999998807907;5,06060928273655E-07;928741,9375;593,884765625;
55;0,46000000834465;4,89665978875564E-07;939415,875;603,953125;
56;0,449999988079071;4,69922582624349E-07;957604,5;614,021484375;
57;0,439999997615814;4,60163732896035E-07;956181,375;624,08984375;
58;0,430000007152557;4,25254199853953E-07;1011159,9375;634,158203125;
59;0,419999986886978;4,00465921757132E-07;1048778,375;644,2265625;
60;0,409999996423721;3,72710303508939E-07;1100050,125;654,294921875;
61;0,400000005960464;3,34459969053569E-07;1195957,75;664,3642578125;
62;0,389999985694885;2,9900385811743E-07;1304331;674,431640625;
63;0,379999995231628;2,67429271616493E-07;1420936,375;684,5009765625;
64;0,370000004768372;2,21551076151627E-07;1670043,875;694,5712890625;
65;0,360000014305115;1,77257888367421E-07;2030939,375;704,6396484375;
66;0,349999994039536;1,36114223892037E-07;2571369,75;714,708984375;
67;0,340000003576279;9,33650383672102E-08;3641620,25;724,779296875;
68;0,330000013113022;6,15500468370556E-08;5361491;734,8466796875;
69;0,319999992847443;3,49654527553867E-08;9151890;744,916015625;
70;0,310000002384186;1,28184822756339E-08;24183830;754,9853515625;
71;0,300000011920929;-9,09910546909032E-09;-32970276;765,056640625;
72;0,28999999165535;-2,53724969923042E-08;-11429699;775,125;
73;0,280000001192093;-3,54157627668883E-08;-7906084;785,193359375;
74;0,270000010728836;-4,29302815518895E-08;-6289267;795,26171875;
75;0,259999990463257;-4,86047468939432E-08;-5349271,5;805,3291015625;
76;0,25;-5,1305324433315E-08;-4872788,5;815,3984375;
77;0,239999994635582;-7,32263032432456E-08;-3277510,75;825,46484375;
78;0,230000004172325;-5,49078293943239E-08;-4188838;835,5341796875;
79;0,219999998807907;-5,62113413593579E-08;-3913801;845,6015625;
80;0,209999993443489;-6,14291906231301E-08;-3418570;855,669921875;
81;0,200000002980232;-7,56762403852917E-08;-2642837,5;865,73828125;
82;0,189999997615814;-7,44883905667848E-08;-2550733;875,8056640625;
83;0,180000007152557;-6,99601656606319E-08;-2572892,75;885,8740234375;
84;0,170000001788139;-7,83129294745777E-08;-2170778,25;895,94140625;
85;0,159999996423721;-7,11001604258854E-08;-2250346,5;906,009765625;
86;0,150000005960464;-8,84671180756413E-08;-1695545,25;916,0771484375;
87;0,140000000596046;-8,87984725750357E-08;-1576603,75;926,146484375;
88;0,129999995231628;-9,16437912223955E-08;-1418535,75;936,21484375;
89;0,119999997317791;-9,91600188626762E-08;-1210165,125;946,283203125;
90;0,109999999403954;-1,10639938100121E-07;-994216;956,3515625;
91;0,100000001490116;-1,11364450106066E-07;-897952,625;966,419921875;
92;0,0900000035762787;-1,20482695820101E-07;-746995,25;976,4873046875;
93;0,0799999982118607;-1,29277097471459E-07;-618825,75;986,5556640625;
94;0,0700000002980232;-1,36139377104882E-07;-514178,9375;996,6240234375;
95;0,0599999986588955;-1,55271351331976E-07;-386420,28125;1006,6943359375;
96;0,0500000007450581;-1,59957906475938E-07;-312582,25;1016,76171875;
97;0,0399999991059303;-1,70724177905868E-07;-234296,046875;1026,8310546875;
98;0,0299999993294477;-1,87946554319751E-07;-159619,84375;1036,8984375;
99;0,0199999995529652;-2,10430627589631E-07;-95043,1953125;1046,9677734375;
100;0,00999999977648258;-2,21543871248286E-07;-45137,78515625;1057,037109375;
101;0;-2,31689270435709E-07;0;1067,107421875;
102;-0,00999999977648258;-2,74415668854999E-07;36441,06640625;1077,17578125;
103;-0,0199999995529652;-2,9296023740244E-07;68268,6484375;1087,2451171875;
104;-0,0299999993294477;-3,20128833664057E-07;93712,265625;1097,3125;
105;-0,0399999991059303;-3,5134542031301E-07;113848,0703125;1107,3818359375;
106;-0,0500000007450581;-3,89921922305803E-07;128230,8046875;1117,4482421875;
107;-0,0599999986588955;-4,27129691615846E-07;140472,546875;1127,5166015625;
108;-0,0700000002980232;-4,68823913024607E-07;149309,796875;1137,583984375;
109;-0,0799999982118607;-5,12720021106361E-07;156030,578125;1147,654296875;
110;-0,0900000035762787;-5,65376012673369E-07;159186,109375;1157,72265625;
111;-0,100000001490116;-6,29929616025038E-07;158747,890625;1167,791015625;
