Item;Smu1_V;Smu1_I
1;-1;-1,75826E-05
2;-0,99000001;-2,33471E-05
3;-0,980000019;-2,62414E-05
4;-0,970000029;-2,88422E-05
5;-0,959999979;-3,01731E-05
6;-0,949999988;-3,12368E-05
7;-0,939999998;-3,15588E-05
8;-0,930000007;-3,14834E-05
9;-0,920000017;-3,1125E-05
10;-0,910000026;-3,05662E-05
11;-0,899999976;-3,00718E-05
12;-0,889999986;-2,94225E-05
13;-0,879999995;-2,88436E-05
14;-0,870000005;-2,83455E-05
15;-0,860000014;-2,77613E-05
16;-0,850000024;-2,72833E-05
17;-0,839999974;-2,68137E-05
18;-0,829999983;-2,63225E-05
19;-0,819999993;-2,58131E-05
20;-0,810000002;-2,52898E-05
21;-0,800000012;-2,48187E-05
22;-0,790000021;-2,4363E-05
23;-0,779999971;-2,39056E-05
24;-0,769999981;-2,34756E-05
25;-0,75999999;-2,30466E-05
26;-0,75;-2,26364E-05
27;-0,74000001;-2,21913E-05
28;-0,730000019;-2,17251E-05
29;-0,720000029;-2,12495E-05
30;-0,709999979;-2,07864E-05
31;-0,699999988;-2,03414E-05
32;-0,689999998;-1,99101E-05
33;-0,680000007;-1,94375E-05
34;-0,670000017;-1,88971E-05
35;-0,660000026;-1,85851E-05
36;-0,649999976;-1,81641E-05
37;-0,639999986;-1,77915E-05
38;-0,629999995;-1,73962E-05
39;-0,620000005;-1,69842E-05
40;-0,610000014;-1,65735E-05
41;-0,600000024;-1,61507E-05
42;-0,589999974;-1,57617E-05
43;-0,579999983;-1,5367E-05
44;-0,569999993;-1,49625E-05
45;-0,560000002;-1,45905E-05
46;-0,550000012;-1,42179E-05
47;-0,540000021;-1,38412E-05
48;-0,529999971;-1,34604E-05
49;-0,519999981;-1,30931E-05
50;-0,50999999;-1,27626E-05
51;-0,5;-1,24193E-05
52;-0,49000001;-1,2086E-05
53;-0,479999989;-1,17494E-05
54;-0,469999999;-1,14273E-05
55;-0,460000008;-1,1099E-05
56;-0,449999988;-1,07646E-05
57;-0,439999998;-1,03715E-05
58;-0,430000007;-1,00182E-05
59;-0,419999987;-9,59631E-06
60;-0,409999996;-9,2433E-06
61;-0,400000006;-8,86899E-06
62;-0,389999986;-8,48788E-06
63;-0,379999995;-8,13215E-06
64;-0,370000005;-7,76589E-06
65;-0,360000014;-7,33288E-06
66;-0,349999994;-6,95924E-06
67;-0,340000004;-6,58212E-06
68;-0,330000013;-6,19943E-06
69;-0,319999993;-5,78603E-06
70;-0,310000002;-5,40523E-06
71;-0,300000012;-5,02316E-06
72;-0,289999992;-4,64453E-06
73;-0,280000001;-4,27754E-06
74;-0,270000011;-3,9197E-06
75;-0,25999999;-3,58126E-06
76;-0,25;-3,25483E-06
77;-0,239999995;-2,95466E-06
78;-0,230000004;-2,67678E-06
79;-0,219999999;-2,41908E-06
80;-0,209999993;-2,18421E-06
81;-0,200000003;-1,97318E-06
82;-0,189999998;-1,77388E-06
83;-0,180000007;-1,6062E-06
84;-0,170000002;-1,43972E-06
85;-0,159999996;-1,29376E-06
86;-0,150000006;-1,15867E-06
87;-0,140000001;-1,04079E-06
88;-0,129999995;-9,31814E-07
89;-0,119999997;-8,22841E-07
90;-0,109999999;-7,27464E-07
91;-0,100000001;-6,4078E-07
92;-0,090000004;-5,57918E-07
93;-0,079999998;-4,81796E-07
94;-0,07;-4,09483E-07
95;-0,059999999;-3,46469E-07
96;-0,050000001;-2,88708E-07
97;-0,039999999;-2,33417E-07
98;-0,029999999;-1,84733E-07
99;-0,02;-1,3287E-07
100;-0,01;-1,01754E-07
101;0;-6,35968E-08
102;0,01;-3,95458E-08
103;0,02;-5,32816E-09
104;0,029999999;1,96249E-08
105;0,039999999;3,56193E-08
106;0,050000001;6,2844E-08
107;0,059999999;8,46752E-08
108;0,07;9,00183E-08
109;0,079999998;1,11689E-07
110;0,090000004;1,27949E-07
111;0,100000001;1,39374E-07
112;0,109999999;1,53882E-07
113;0,119999997;1,63578E-07
114;0,129999995;1,74793E-07
115;0,140000001;1,80213E-07
116;0,150000006;1,96831E-07
117;0,159999996;2,07811E-07
118;0,170000002;2,18729E-07
119;0,180000007;2,29478E-07
120;0,189999998;2,37841E-07
