Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1;5,52270103071351E-06;181070,8125;20,033203125;
2;0,990000009536743;4,77553112432361E-06;207306,78125;30,103515625;
3;0,980000019073486;4,28991597800632E-06;228442,703125;40,1728515625;
4;0,970000028610229;3,93735672332696E-06;246358,171875;50,2421875;
5;0,959999978542328;3,65568462257215E-06;262604,71875;60,3115234375;
6;0,949999988079071;3,42313001056027E-06;277523,78125;70,3798828125;
7;0,939999997615814;3,22961705023772E-06;291056,1875;80,44921875;
8;0,930000007152557;3,05933076560905E-06;303988,0625;90,517578125;
9;0,920000016689301;2,90580419459729E-06;316607,71875;100,587890625;
10;0,910000026226044;2,77323556474585E-06;328136,5625;110,6552734375;
11;0,899999976158142;2,65824587586394E-06;338569,125;120,72265625;
12;0,889999985694885;2,54150086220761E-06;350186,78125;130,79296875;
13;0,879999995231628;2,44074908550829E-06;360545,0625;140,8623046875;
14;0,870000004768372;2,35288212024898E-06;369759,28125;150,9306640625;
15;0,860000014305115;2,27299301513995E-06;378355,78125;160,9990234375;
16;0,850000023841858;2,19828712033632E-06;386664,6875;171,0693359375;
17;0,839999973773956;2,13004227589408E-06;394358,34375;181,138671875;
18;0,829999983310699;2,06147456083272E-06;402624,40625;191,208984375;
19;0,819999992847443;1,99791497834667E-06;410427,875;201,2783203125;
20;0,810000002384186;1,93154210137436E-06;419354,0625;211,3466796875;
21;0,800000011920929;1,8684432916416E-06;428163,9375;221,416015625;
22;0,790000021457672;1,80932795501576E-06;436626,21875;231,484375;
23;0,779999971389771;1,74647311723675E-06;446614,34375;241,5537109375;
24;0,769999980926514;1,69209135947312E-06;455058,15625;251,6240234375;
25;0,759999990463257;1,64834580118622E-06;461068,28125;261,6943359375;
26;0,75;1,60284184858028E-06;467918,90625;271,76171875;
27;0,740000009536743;1,55277916746854E-06;476564,875;281,83203125;
28;0,730000019073486;1,51189738062385E-06;482837,03125;291,9033203125;
29;0,720000028610229;1,50621360717196E-06;478019,875;301,97265625;
30;0,709999978542328;1,42508645240014E-06;498215,375;312,041015625;
31;0,699999988079071;1,37405004352331E-06;509442,875;322,109375;
32;0,689999997615814;1,32750494685752E-06;519772,0625;332,177734375;
33;0,680000007152557;1,2827114233005E-06;530127,0625;342,248046875;
34;0,670000016689301;1,23294864806667E-06;543412,75;352,3154296875;
35;0,660000026226044;1,18002026283648E-06;559312,4375;362,384765625;
36;0,649999976158142;1,12408611130377E-06;578247,5;372,4541015625;
37;0,639999985694885;1,07387916159496E-06;595970,1875;382,5244140625;
38;0,629999995231628;1,01775651728531E-06;619008,5625;392,5927734375;
39;0,620000004768372;9,76175442701788E-07;635131,75;412,7138671875;
40;0,610000014305115;9,13576741368161E-07;667705,25;422,783203125;
41;0,600000023841858;8,58919577240158E-07;698552,0625;432,8515625;
42;0,589999973773956;8,00941847955983E-07;736632,75;442,919921875;
43;0,579999983310699;7,37531138383929E-07;786407,4375;452,9892578125;
44;0,569999992847443;6,81415144754283E-07;836494,4375;463,0576171875;
45;0,560000002384186;6,23466064553213E-07;898204,4375;473,12890625;
46;0,550000011920929;5,65509253647178E-07;972574,75;483,19921875;
47;0,540000021457672;5,0911745574922E-07;1060659;493,2685546875;
48;0,529999971389771;4,5506737933465E-07;1164662,625;503,337890625;
49;0,519999980926514;4,00450460347201E-07;1298537,625;513,4052734375;
50;0,509999990463257;3,47881751849854E-07;1466015,375;523,4736328125;
51;0,5;2,97388766057338E-07;1681300,875;533,5419921875;
52;0,490000009536743;2,47798709551716E-07;1977411,5;543,6103515625;
53;0,479999989271164;2,04221805688576E-07;2350385,5;553,6796875;
54;0,469999998807907;1,62011843940491E-07;2901022,5;563,748046875;
55;0,46000000834465;1,26190741411847E-07;3645275,5;573,81640625;
56;0,449999988079071;9,68225322139915E-08;4647678,5;583,8857421875;
57;0,439999997615814;6,91956358878087E-08;6358782,5;593,9560546875;
58;0,430000007152557;4,3836053009727E-08;9809277;604,025390625;
59;0,419999986886978;2,20218403512717E-08;19071974;614,0947265625;
60;0,409999996423721;9,53823420246636E-09;42984896;624,1650390625;
61;0,400000005960464;-1,32017152765229E-09;-302990944;634,2333984375;
62;0,389999985694885;-1,06617941142417E-08;-36579208;644,302734375;
63;0,379999995231628;-1,59311976943854E-08;-23852570;654,373046875;
64;0,370000004768372;-2,13267199455913E-08;-17349128;664,44140625;
65;0,360000014305115;-2,39203181706671E-08;-15049968;674,5087890625;
66;0,349999994039536;-2,66404516224839E-08;-13137915;684,5791015625;
67;0,340000003576279;-3,01076177322557E-08;-11292823;694,6484375;
68;0,330000013113022;-3,21616333565089E-08;-10260673;704,71875;
69;0,319999992847443;-3,38058967486177E-08;-9465804;714,787109375;
70;0,310000002384186;-3,51070958970467E-08;-8830124;724,85546875;
71;0,300000011920929;-3,64398857755077E-08;-8232737,5;734,9248046875;
72;0,28999999165535;-3,94883592491624E-08;-7343936;744,9931640625;
73;0,280000001192093;-4,13198257831482E-08;-6776408;755,0615234375;
74;0,270000010728836;-4,39051000000745E-08;-6149627,5;765,1318359375;
75;0,259999990463257;-6,9234168620369E-08;-3755371;775,2021484375;
76;0,25;-5,26128438593787E-08;-4751691,5;785,2705078125;
77;0,239999994635582;-5,61413422417445E-08;-4274924,5;795,3388671875;
78;0,230000004172325;-6,20999855982518E-08;-3703704,75;805,4072265625;
79;0,219999998807907;-6,57056631325759E-08;-3348265,5;815,474609375;
80;0,209999993443489;-7,09136926957399E-08;-2961346,25;825,54296875;
81;0,200000002980232;-7,69213244211642E-08;-2600059,25;835,61328125;
82;0,189999997615814;-8,24777615093808E-08;-2303651,25;845,681640625;
83;0,180000007152557;-9,0717733769452E-08;-1984176,625;855,7490234375;
84;0,170000001788139;-1,00214393228271E-07;-1696363,125;865,8203125;
85;0,159999996423721;-1,10679444276229E-07;-1445616,25;875,8896484375;
86;0,150000005960464;-1,23368650406519E-07;-1215868,125;885,95703125;
87;0,140000000596046;-1,3501107787306E-07;-1036951,9375;896,0263671875;
88;0,129999995231628;-1,50726847891747E-07;-862487,3125;906,0947265625;
89;0,119999997317791;-1,68085733776024E-07;-713921,375;916,1640625;
90;0,109999999403954;-1,89388856597361E-07;-580815,5625;926,234375;
91;0,100000001490116;-2,13417635563928E-07;-468564,84375;936,302734375;
92;0,0900000035762787;-2,41387851929176E-07;-372843,96875;946,3720703125;
93;0,0799999982118607;-2,69098961780401E-07;-297288,40625;956,439453125;
94;0,0700000002980232;-3,02921193906514E-07;-231083,203125;966,5087890625;
95;0,0599999986588955;-3,45593605288741E-07;-173614,3125;976,578125;
96;0,0500000007450581;-3,85954081139062E-07;-129549,09375;986,6484375;
97;0,0399999991059303;-4,2972817482223E-07;-93082,09375;996,7177734375;
98;0,0299999993294477;-4,74669207051193E-07;-63201,90625;1006,7890625;
99;0,0199999995529652;-5,19241439178586E-07;-38517,7265625;1016,857421875;
100;0,00999999977648258;-5,66080700536986E-07;-17665,326171875;1026,9267578125;
101;0;-6,18221122294926E-07;0;1036,9951171875;
102;-0,00999999977648258;-6,84731389810622E-07;14604,2666015625;1047,064453125;
103;-0,0199999995529652;-7,33883496195631E-07;27252,28125;1057,1337890625;
104;-0,0299999993294477;-8,04647811492032E-07;37283,390625;1067,203125;
105;-0,0399999991059303;-8,66346681505092E-07;46170,890625;1077,271484375;
106;-0,0500000007450581;-9,33337730657513E-07;53571,17578125;1087,337890625;
107;-0,0599999986588955;-9,99883809527091E-07;60006,97265625;1097,4033203125;
108;-0,0700000002980232;-1,04225580344064E-06;67162,015625;1127,5517578125;
109;-0,0799999982118607;-1,10997154934012E-06;72073,9140625;1137,6220703125;
110;-0,0900000035762787;-1,17436513846769E-06;76637,15625;1147,69140625;
111;-0,100000001490116;-1,23791755868297E-06;80780,828125;1157,76171875;
112;-0,109999999403954;-1,30891237404285E-06;84039,2421875;1167,8330078125;
113;-0,119999997317791;-1,37179824832856E-06;87476,421875;1177,904296875;
114;-0,129999995231628;-1,42600322305952E-06;91163,8828125;1187,974609375;
