Item	Smu1_V(1)(1)	Smu1_I(1)(1)	Smu1_R(1)(1)	Smu1_Time(1)(1)	
1	-1	-4.08701198466588E-05	24467.75390625	9.984375	
2	-0.990000009536743	-3.93842165067326E-05	25136.974609375	20.0546875	
3	-0.980000019073486	-3.81236786779482E-05	25705.80859375	30.1240234375	
4	-0.970000028610229	-3.70251909771468E-05	26198.380859375	40.193359375	
5	-0.959999978542328	-3.60368067049421E-05	26639.4296875	50.2626953125	
6	-0.949999988079071	-3.51104608853348E-05	27057.462890625	60.33203125	
7	-0.939999997615814	-3.42113198712468E-05	27476.28515625	70.4013671875	
8	-0.930000007152557	-3.33781681547407E-05	27862.5234375	80.4697265625	
9	-0.920000016689301	-3.25881410390139E-05	28231.12890625	90.5400390625	
10	-0.910000026226044	-3.17450430884492E-05	28665.89453125	100.6103515625	
11	-0.899999976158142	-3.09891038341448E-05	29042.46484375	110.6796875	
12	-0.889999985694885	-3.02151365758618E-05	29455.435546875	120.748046875	
13	-0.879999995231628	-2.95165646093665E-05	29813.767578125	130.8173828125	
14	-0.870000004768372	-2.87909006146947E-05	30217.880859375	140.8857421875	
15	-0.860000014305115	-2.81729535345221E-05	30525.732421875	150.9560546875	
16	-0.850000023841858	-2.74467001872836E-05	30969.115234375	161.0244140625	
17	-0.839999973773956	-2.67673840426141E-05	31381.474609375	171.0927734375	
18	-0.829999983310699	-2.60660381172784E-05	31842.19921875	181.162109375	
19	-0.819999992847443	-2.54004462476587E-05	32282.896484375	191.2314453125	
20	-0.810000002384186	-2.47466032305965E-05	32731.765625	201.30078125	
21	-0.800000011920929	-2.41525631281547E-05	33122.77734375	211.3701171875	
22	-0.790000021457672	-2.35418192460202E-05	33557.3046875	221.4384765625	
23	-0.779999971389771	-2.29240285989363E-05	34025.43359375	231.5078125	
24	-0.769999980926514	-2.23209117393708E-05	34496.796875	241.5771484375	
25	-0.759999990463257	-2.17300821532262E-05	34974.55859375	251.6455078125	
26	-0.75	-2.11706683330704E-05	35426.375	261.71484375	
27	-0.740000009536743	-2.05964424822014E-05	35928.53515625	271.783203125	
28	-0.730000019073486	-2.00462818611413E-05	36415.73046875	281.853515625	
29	-0.720000028610229	-1.95107586478116E-05	36902.71875	291.921875	
30	-0.709999978542328	-1.90044720511651E-05	37359.625	301.990234375	
31	-0.699999988079071	-1.85181415872648E-05	37800.76953125	312.060546875	
32	-0.689999997615814	-1.80411989276763E-05	38245.796875	322.130859375	
33	-0.680000007152557	-1.75713266798994E-05	38699.41015625	332.19921875	
34	-0.670000016689301	-1.7134465451818E-05	39102.4765625	342.267578125	
35	-0.660000026226044	-1.66981499205576E-05	39525.33984375	352.337890625	
36	-0.649999976158142	-1.62748128786916E-05	39939.015625	362.4072265625	
37	-0.639999985694885	-1.58522689162055E-05	40372.76953125	372.4775390625	
38	-0.629999995231628	-1.5477718989132E-05	40703.671875	382.546875	
39	-0.620000004768372	-1.50979549289332E-05	41065.1640625	392.615234375	
40	-0.610000014305115	-1.47305536302156E-05	41410.52734375	402.68359375	
41	-0.600000023841858	-1.43764418680803E-05	41734.9453125	412.751953125	
42	-0.589999973773956	-1.40325701067923E-05	42045.0390625	422.8212890625	
43	-0.579999983310699	-1.37015294967568E-05	42331.0390625	432.8916015625	
44	-0.569999992847443	-1.33706307678949E-05	42630.75	442.9599609375	
45	-0.560000002384186	-1.30771995827672E-05	42822.625	453.0283203125	
46	-0.550000011920929	-1.27899584185798E-05	43002.48828125	463.0966796875	
47	-0.540000021457672	-1.2514712580014E-05	43149.21484375	473.166015625	
48	-0.529999971389771	-1.2244899153302E-05	43283.328125	483.236328125	
49	-0.519999980926514	-1.19923997772275E-05	43360.79296875	493.3046875	
50	-0.509999990463257	-1.17428535304498E-05	43430.66796875	503.3759765625	
51	-0.5	-1.15019975055475E-05	43470.7109375	513.4443359375	
52	-0.490000009536743	-1.12680545498733E-05	43485.76953125	523.5146484375	
53	-0.479999989271164	-1.10458058770746E-05	43455.40625	533.5849609375	
54	-0.469999998807907	-1.08256526800687E-05	43415.39453125	543.65625	
