Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1;2,30302812269656E-05;43421,09375;9,986328125;
2;0,990000009536743;2,36367595789488E-05;41883,9140625;20,0556640625;
3;0,980000019073486;2,47022944677155E-05;39672,4296875;30,125;
4;0,970000028610229;2,57754254562315E-05;37632,74609375;40,193359375;
5;0,959999978542328;2,63909623754444E-05;36376,08984375;50,2626953125;
6;0,949999988079071;2,64112077275058E-05;35969,578125;60,33203125;
7;0,939999997615814;2,58620730164694E-05;36346,66015625;70,40234375;
8;0,930000007152557;2,53763118962524E-05;36648,3515625;80,47265625;
9;0,920000016689301;2,50948360189795E-05;36660,9296875;90,5400390625;
10;0,910000026226044;2,49804561462952E-05;36428,48046875;100,6103515625;
11;0,899999976158142;2,46469444391551E-05;36515,68359375;110,6787109375;
12;0,889999985694885;2,42779042309849E-05;36658,84765625;120,7470703125;
13;0,879999995231628;2,38692409766372E-05;36867,53125;130,81640625;
14;0,870000004768372;2,34742110478692E-05;37061,94921875;140,8837890625;
15;0,860000014305115;2,30259302043123E-05;37349,19921875;150,955078125;
16;0,850000023841858;2,25274434342282E-05;37731,7578125;161,0263671875;
17;0,839999973773956;2,20319634536281E-05;38126,421875;171,09375;
18;0,829999983310699;2,16591324715409E-05;38321,015625;181,1630859375;
19;0,819999992847443;2,1253077647998E-05;38582,6484375;191,23046875;
20;0,810000002384186;2,07678040169412E-05;39002,6796875;201,30078125;
21;0,800000011920929;2,0240540834493E-05;39524,63671875;211,369140625;
22;0,790000021457672;1,97103854588931E-05;40080,39453125;221,4375;
23;0,779999971389771;1,91359158634441E-05;40761,046875;231,5078125;
24;0,769999980926514;1,85088374564657E-05;41601,74609375;241,576171875;
25;0,759999990463257;1,78943955688737E-05;42471,3984375;251,6455078125;
26;0,75;1,73430071299663E-05;43245,09375;261,7138671875;
27;0,740000009536743;1,66747176990611E-05;44378,5625;271,783203125;
28;0,730000019073486;1,59382580022793E-05;45801,74609375;281,8515625;
29;0,720000028610229;1,51613130583428E-05;47489,29296875;291,921875;
30;0,709999978542328;1,43886209116317E-05;49344,546875;301,9912109375;
31;0,699999988079071;1,36507942443131E-05;51279,06640625;312,0615234375;
32;0,689999997615814;1,29059035316459E-05;53463,90625;322,1328125;
33;0,680000007152557;1,21626999316504E-05;55908,640625;332,201171875;
34;0,670000016689301;1,14457370727905E-05;58537,078125;342,2724609375;
35;0,660000026226044;1,07327978184912E-05;61493,75390625;352,341796875;
36;0,649999976158142;1,00288543762872E-05;64812,984375;362,412109375;
37;0,639999985694885;9,3259568529902E-06;68625,6640625;382,5302734375;
38;0,629999995231628;8,64174126036232E-06;72901,9765625;392,599609375;
39;0,620000004768372;8,00724956206977E-06;77429,8359375;402,66796875;
40;0,610000014305115;7,37765640224097E-06;82682,0859375;412,73828125;
41;0,600000023841858;6,76202489557909E-06;88730,8203125;422,8076171875;
42;0,589999973773956;6,1599607761309E-06;95779,828125;432,875;
43;0,579999983310699;5,54899679627852E-06;104523,3984375;442,9443359375;
44;0,569999992847443;4,93103834742215E-06;115594,3125;453,013671875;
45;0,560000002384186;4,33652439824073E-06;129135,671875;463,0830078125;
46;0,550000011920929;3,74321984963899E-06;146932,328125;473,15234375;
47;0,540000021457672;3,13863688461424E-06;172049,21875;483,220703125;
48;0,529999971389771;2,51799178840884E-06;210485,1875;493,2900390625;
49;0,519999980926514;1,8651289792615E-06;278801,09375;503,3583984375;
50;0,509999990463257;1,15559214464156E-06;441332,1875;513,42578125;
51;0,5;2,82429283515739E-07;1770354,625;533,5439453125;
52;0,490000009536743;1,91622646639189E-07;2557109;543,61328125;
53;0,479999989271164;1,46813619039676E-07;3269451,5;553,6826171875;
54;0,469999998807907;1,11806770064504E-07;4203681;563,751953125;
55;0,46000000834465;8,48239025685871E-08;5423000;573,8212890625;
56;0,449999988079071;7,02324172152657E-08;6407297,5;583,890625;
57;0,439999997615814;5,86614525843743E-08;7500666,5;593,958984375;
58;0,430000007152557;5,39530091714369E-08;7969898,5;604,02734375;
59;0,419999986886978;5,12227202875692E-08;8199486;614,0966796875;
60;0,409999996423721;4,89195848274449E-08;8381101,5;624,1640625;
61;0,400000005960464;4,27538751068823E-08;9355877;634,232421875;
62;0,389999985694885;4,26074429071832E-08;9153330;644,3017578125;
63;0,379999995231628;4,14279952565266E-08;9172541;654,369140625;
64;0,370000004768372;4,02693594026005E-08;9188127;664,4384765625;
65;0,360000014305115;3,96726527185365E-08;9074261;674,505859375;
66;0,349999994039536;4,13287359890546E-08;8468684;684,5751953125;
67;0,340000003576279;3,96286203852014E-08;8579658;694,64453125;
68;0,330000013113022;3,94475456744203E-08;8365540;704,7138671875;
69;0,319999992847443;3,83525353697678E-08;8343646,5;714,78515625;
70;0,310000002384186;3,68078723056442E-08;8422111;724,853515625;
71;0,300000011920929;3,14765777886805E-08;9530897;734,923828125;
72;0,28999999165535;2,64997357390939E-08;10943505;744,9931640625;
73;0,280000001192093;2,01914112096802E-08;13867282;755,0625;
74;0,270000010728836;1,48675116662389E-08;18160404;765,1318359375;
75;0,259999990463257;1,10328555180672E-08;23565974;775,2001953125;
76;0,25;5,8340505759702E-09;42851876;785,26953125;
77;0,239999994635582;-2,76857536896102E-09;-86687184;795,33984375;
78;0,230000004172325;-6,16193673863563E-09;-37325928;805,408203125;
79;0,219999998807907;-1,46153888991307E-08;-15052627;815,4755859375;
80;0,209999993443489;-1,87631510328856E-08;-11192150;825,544921875;
81;0,200000002980232;-2,57508716572374E-08;-7766727,5;835,6142578125;
82;0,189999997615814;-2,88490955568932E-08;-6585995;845,6806640625;
83;0,180000007152557;-3,84558092036968E-08;-4680697,5;855,748046875;
84;0,170000001788139;-4,83973217058065E-08;-3512591;865,81640625;
85;0,159999996423721;-5,73897693811887E-08;-2787953,25;875,884765625;
86;0,150000005960464;-6,76511220376597E-08;-2217258,25;885,951171875;
87;0,140000000596046;-7,94619694488574E-08;-1761849,125;896,0224609375;
88;0,129999995231628;-9,06583039750331E-08;-1433955,75;906,091796875;
89;0,119999997317791;-1,0782062531689E-07;-1112959,625;916,1591796875;
90;0,109999999403954;-1,28070027471949E-07;-858905,125;926,2275390625;
91;0,100000001490116;-1,49675713601027E-07;-668111,0625;936,294921875;
92;0,0900000035762787;-1,7716487832331E-07;-508001,375;946,365234375;
93;0,0799999982118607;-2,08252544098286E-07;-384148,96875;956,435546875;
94;0,0700000002980232;-2,47424111421424E-07;-282915,03125;966,5029296875;
95;0,0599999986588955;-2,99028897643439E-07;-200649,5;976,5712890625;
96;0,0500000007450581;-3,62348686167024E-07;-137988,640625;986,638671875;
97;0,0399999991059303;-4,41314341514953E-07;-90638,34375;996,7060546875;
98;0,0299999993294477;-5,43842361366842E-07;-55163,04296875;1006,7763671875;
99;0,0199999995529652;-6,78503340623138E-07;-29476,640625;1016,84375;
100;0,00999999977648258;-8,51498612064461E-07;-11744;1026,9111328125;
101;0;-1,02953742953105E-06;0;1057,0595703125;
102;-0,00999999977648258;-1,29378429392091E-06;7729,263671875;1067,130859375;
103;-0,0199999995529652;-1,61188290803693E-06;12407,8486328125;1077,1982421875;
104;-0,0299999993294477;-1,98296038433909E-06;15128,89453125;1087,2685546875;
105;-0,0399999991059303;-2,41649240706465E-06;16552,91796875;1097,337890625;
106;-0,0500000007450581;-2,91864898827043E-06;17131,21484375;1107,40625;
107;-0,0599999986588955;-3,46923934557708E-06;17294,857421875;1117,474609375;
108;-0,0700000002980232;-4,07484458264662E-06;17178,5703125;1127,5439453125;
109;-0,0799999982118607;-4,7241237552953E-06;16934,357421875;1137,611328125;
110;-0,0900000035762787;-5,41968165634898E-06;16606,142578125;1147,6806640625;
111;-0,100000001490116;-6,14645387031487E-06;16269,5439453125;1157,75;
112;-0,109999999403954;-6,93247329763835E-06;15867,3525390625;1167,8203125;
113;-0,119999997317791;-7,72037492424715E-06;15543,2861328125;1177,888671875;
114;-0,129999995231628;-8,52691937325289E-06;15245,833984375;1187,9560546875;
115;-0,140000000596046;-9,35357820708305E-06;14967,5341796875;1198,0244140625;
116;-0,150000005960464;-1,0202988050878E-05;14701,576171875;1208,0888671875;
117;-0,159999996423721;-1,08132480818313E-05;14796,6640625;1238,2353515625;
118;-0,170000001788139;-1,1753334547393E-05;14463,98046875;1248,3046875;
119;-0,180000007152557;-1,2660169886658E-05;14217,8193359375;1258,375;
120;-0,189999997615814;-1,35600712383166E-05;14011,7255859375;1268,443359375;
121;-0,200000002980232;-1,44482737596263E-05;13842,484375;1278,51171875;
122;-0,209999993443489;-1,53451292135287E-05;13685,1240234375;1288,58203125;
123;-0,219999998807907;-1,62110191013198E-05;13571,015625;1298,650390625;
124;-0,230000004172325;-1,7084923456423E-05;13462,162109375;1308,7197265625;
125;-0,239999994635582;-1,79488215508172E-05;13371,3515625;1318,7900390625;
126;-0,25;-1,87949517567176E-05;13301,4443359375;1328,8603515625;
127;-0,259999990463257;-1,96363016584655E-05;13240,7822265625;1338,927734375;
128;-0,270000010728836;-2,04498628590954E-05;13203,0234375;1348,998046875;
129;-0,280000001192093;-2,12397917493945E-05;13182,8037109375;1359,06640625;
130;-0,28999999165535;-2,1984507839079E-05;13191,1064453125;1369,134765625;
131;-0,300000011920929;-2,27036634896649E-05;13213,7275390625;1379,205078125;
132;-0,310000002384186;-2,33979535551043E-05;13249,0224609375;1389,2734375;
133;-0,319999992847443;-2,4076491172309E-05;13290,97265625;1399,341796875;
134;-0,330000013113022;-2,47338575718459E-05;13342,0361328125;1409,41015625;
135;-0,340000003576279;-2,53922662523109E-05;13389,904296875;1419,4794921875;
136;-0,349999994039536;-2,60471933870576E-05;13437,1484375;1429,548828125;
137;-0,360000014305115;-2,67854975390946E-05;13440,109375;1439,6181640625;
138;-0,370000004768372;-2,75207712547854E-05;13444,390625;1449,6865234375;
139;-0,379999995231628;-2,83033459709259E-05;13425,974609375;1459,7568359375;
140;-0,389999985694885;-2,9172197173466E-05;13368,8935546875;1469,826171875;
141;-0,400000005960464;-3,01251766359201E-05;13277,9306640625;1479,8935546875;
142;-0,409999996423721;-3,11795301968232E-05;13149,65234375;1489,96484375;
143;-0,419999986886978;-3,22964951919857E-05;13004,5068359375;1500,0341796875;
144;-0,430000007152557;-3,35337936121505E-05;12822,8857421875;1510,1044921875;
145;-0,439999997615814;-3,48596913681831E-05;12622,0283203125;1520,1728515625;
146;-0,449999988079071;-3,62481696356554E-05;12414,419921875;1530,2412109375;
147;-0,46000000834465;-3,77214346372057E-05;12194,658203125;1540,310546875;
148;-0,469999998807907;-3,92453330277931E-05;11975,9462890625;1550,3798828125;
149;-0,479999989271164;-4,08082087233197E-05;11762,3388671875;1560,4482421875;
150;-0,490000009536743;-4,24111167376395E-05;11553,5751953125;1570,515625;
151;-0,5;-4,40953772340436E-05;11339,056640625;1580,5849609375;
152;-0,509999990463257;-4,5829925511498E-05;11128,099609375;1590,6533203125;
153;-0,519999980926514;-4,7632693167543E-05;10916,87109375;1600,7216796875;
154;-0,529999971389771;-4,9408004997531E-05;10727,005859375;1610,791015625;
155;-0,540000021457672;-5,12850274390075E-05;10529,3896484375;1620,859375;
156;-0,550000011920929;-5,31166333530564E-05;10354,572265625;1630,9296875;
157;-0,560000002384186;-5,51019656995777E-05;10162,9765625;1640,9990234375;
158;-0,569999992847443;-5,70992851862684E-05;9982,611328125;1651,068359375;
159;-0,579999983310699;-5,91863645240664E-05;9799,5537109375;1661,13671875;
160;-0,589999973773956;-6,12872754572891E-05;9626,7939453125;1671,205078125;
161;-0,600000023841858;-6,34612079011276E-05;9454,5947265625;1681,2744140625;
162;-0,610000014305115;-6,56593620078638E-05;9290,3740234375;1691,3427734375;
163;-0,620000004768372;-6,79892546031624E-05;9119,087890625;1701,4111328125;
164;-0,629999995231628;-7,02373217791319E-05;8969,58984375;1711,48046875;
165;-0,639999985694885;-7,25878562661819E-05;8816,9013671875;1721,5498046875;
166;-0,649999976158142;-7,51054612919688E-05;8654,4970703125;1731,619140625;
167;-0,660000026226044;-7,74815634940751E-05;8518,15625;1741,6865234375;
168;-0,670000016689301;-8,01055721240118E-05;8363,962890625;1751,755859375;
169;-0,680000007152557;-8,28499250928871E-05;8207,611328125;1761,8251953125;
170;-0,689999997615814;-8,54282770887949E-05;8076,95068359375;1771,8955078125;
171;-0,699999988079071;-8,83778993738815E-05;7920,5322265625;1781,966796875;
172;-0,709999978542328;-9,12665127543733E-05;7779,4140625;1792,03515625;
173;-0,720000028610229;-9,42150072660297E-05;7642,0947265625;1802,1025390625;
174;-0,730000019073486;-9,72028792602941E-05;7510,06591796875;1812,1708984375;
175;-0,740000009536743;-0,000100325807579793;7375,96875;1822,2392578125;
176;-0,75;-0,000103344602393918;7257,27294921875;1832,306640625;
177;-0,759999990463257;-0,000107084611954633;7097,19140625;1862,453125;
178;-0,769999980926514;-0,000110262837552;6983,3134765625;1872,5234375;
179;-0,779999971389771;-0,00011348078987794;6873,40966796875;1882,591796875;
180;-0,790000021457672;-0,00011676723806886;6765,5966796875;1892,6630859375;
181;-0,800000011920929;-0,000120093602163251;6661,470703125;1902,7314453125;
182;-0,810000002384186;-0,000123345758765936;6566,90576171875;1912,80078125;
183;-0,819999992847443;-0,00012764120765496;6424,25732421875;1922,869140625;
184;-0,829999983310699;-0,000131103428429924;6330,87939453125;1932,9365234375;
185;-0,839999973773956;-0,000134511647047475;6244,81201171875;1943,0068359375;
186;-0,850000023841858;-0,000137793409521692;6168,6552734375;1953,076171875;
187;-0,860000014305115;-0,000140968622872606;6100,6484375;1963,1435546875;
188;-0,870000004768372;-0,000144355944939889;6026,76953125;1973,2138671875;
189;-0,879999995231628;-0,00014756312884856;5963,54931640625;1983,2841796875;
190;-0,889999985694885;-0,000151382671901956;5879,140625;1993,3544921875;
191;-0,899999976158142;-0,000155100235133432;5802,69921875;2003,4228515625;
192;-0,910000026226044;-0,000159492148668505;5705,6103515625;2013,4912109375;
193;-0,920000016689301;-0,000163199831149541;5637,2607421875;2023,5615234375;
194;-0,930000007152557;-0,000166777797858231;5576,28173828125;2033,6298828125;
195;-0,939999997615814;-0,000170447849086486;5514,88330078125;2043,701171875;
196;-0,949999988079071;-0,000173926440766081;5462,0791015625;2053,7705078125;
197;-0,959999978542328;-0,000177485388121568;5408,89599609375;2063,8408203125;
198;-0,970000028610229;-0,000181134877493605;5355,12548828125;2073,91015625;
