Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-1;-0,000210790210985579;4744,05322265625;30,10546875;
2;-0,990000009536743;-0,000212442319025286;4660,08837890625;40,173828125;
3;-0,980000019073486;-0,000212747021578252;4606,41015625;50,244140625;
4;-0,970000028610229;-0,0002117432304658;4581,02001953125;60,3125;
5;-0,959999978542328;-0,000210478901863098;4561,02734375;70,380859375;
6;-0,949999988079071;-0,000207969496841542;4567,9775390625;80,451171875;
7;-0,939999997615814;-0,000204683310585096;4592,46044921875;90,5205078125;
8;-0,930000007152557;-0,000201548959012143;4614,263671875;100,5888671875;
9;-0,920000016689301;-0,000198145877220668;4643,0439453125;110,66015625;
10;-0,910000026226044;-0,000194656880921684;4674,892578125;120,7294921875;
11;-0,899999976158142;-0,000191413535503671;4701,86181640625;130,7978515625;
12;-0,889999985694885;-0,000187972007552162;4734,74755859375;140,8662109375;
13;-0,879999995231628;-0,000184323216672055;4774,22216796875;150,9365234375;
14;-0,870000004768372;-0,000180446513695642;4821,37353515625;161,005859375;
15;-0,860000014305115;-0,000176656903931871;4868,19384765625;171,0751953125;
16;-0,850000023841858;-0,000172806467162445;4918,79736328125;181,1435546875;
17;-0,839999973773956;-0,000168977363500744;4971,080078125;191,2138671875;
18;-0,829999983310699;-0,00016473580035381;5038,37060546875;201,2822265625;
19;-0,819999992847443;-0,000159009403432719;5156,927734375;211,3505859375;
20;-0,810000002384186;-0,000155035566422157;5224,607421875;221,4208984375;
21;-0,800000011920929;-0,000151435626321472;5282,77294921875;231,4892578125;
22;-0,790000021457672;-0,000147660481161438;5350,111328125;241,5576171875;
23;-0,779999971389771;-0,000143963581649587;5418,03662109375;251,6279296875;
24;-0,769999980926514;-0,000140223579364829;5491,23046875;261,6982421875;
25;-0,759999990463257;-0,000136541275423951;5566,08251953125;271,7666015625;
26;-0,75;-0,000132806613692082;5647,30908203125;281,837890625;
27;-0,740000009536743;-0,000129091364215128;5732,3740234375;291,9052734375;
28;-0,730000019073486;-0,000125458042020909;5818,6787109375;301,9755859375;
29;-0,720000028610229;-0,000121907985885628;5906,09423828125;312,0439453125;
30;-0,709999978542328;-0,000118290910904761;6002,1513671875;322,1142578125;
31;-0,699999988079071;-0,000114835718704853;6095,6640625;332,181640625;
32;-0,689999997615814;-0,000111400258901995;6193,88134765625;342,251953125;
33;-0,680000007152557;-0,000108064959931653;6292,51171875;352,3203125;
34;-0,670000016689301;-0,00010459764598636;6405,498046875;362,388671875;
35;-0,660000026226044;-0,000101321791589726;6513,89990234375;372,45703125;
36;-0,649999976158142;-9,81674602371641E-05;6621,33837890625;392,576171875;
37;-0,639999985694885;-9,48860397329554E-05;6744,93310546875;402,6455078125;
38;-0,629999995231628;-9,16360659175552E-05;6875,0224609375;412,71484375;
39;-0,620000004768372;-8,85184417711571E-05;7004,1904296875;422,783203125;
40;-0,610000014305115;-8,55004982440732E-05;7134,46142578125;432,8515625;
41;-0,600000023841858;-8,24570379336365E-05;7276,5166015625;442,9208984375;
42;-0,589999973773956;-7,94870720710605E-05;7422,59033203125;452,990234375;
43;-0,579999983310699;-7,66441153245978E-05;7567,443359375;463,0595703125;
44;-0,569999992847443;-7,37932496122085E-05;7724,28369140625;473,1279296875;
45;-0,560000002384186;-7,09463711245917E-05;7893,2861328125;483,1953125;
46;-0,550000011920929;-6,82621976011433E-05;8057,16845703125;493,2646484375;
47;-0,540000021457672;-6,56299380352721E-05;8227,953125;503,3330078125;
48;-0,529999971389771;-6,30771683063358E-05;8402,40625;513,40234375;
49;-0,519999980926514;-6,06072280788794E-05;8579,833984375;523,470703125;
50;-0,509999990463257;-5,81863059778698E-05;8764,94921875;533,5390625;
51;-0,5;-5,34348255314399E-05;9357,193359375;543,607421875;
52;-0,490000009536743;-5,38807398697827E-05;9094,1591796875;553,6767578125;
53;-0,479999989271164;-5,14919738634489E-05;9321,8408203125;563,7470703125;
54;-0,469999998807907;-4,91972386953421E-05;9553,3818359375;573,8154296875;
55;-0,46000000834465;-4,69751394120976E-05;9792,4140625;583,8837890625;
56;-0,449999988079071;-4,48218670499045E-05;10039,7421875;593,9541015625;
57;-0,439999997615814;-4,26708174927626E-05;10311,4970703125;604,0234375;
58;-0,430000007152557;-4,07536863349378E-05;10551,193359375;614,091796875;
59;-0,419999986886978;-3,88396620110143E-05;10813,6884765625;624,162109375;
60;-0,409999996423721;-3,69640256394632E-05;11091,865234375;634,23046875;
61;-0,400000005960464;-3,52746174030472E-05;11339,5986328125;644,298828125;
62;-0,389999985694885;-3,36456323566381E-05;11591,400390625;654,3681640625;
63;-0,379999995231628;-3,20096078212373E-05;11871,435546875;664,4375;
64;-0,370000004768372;-3,04386157949921E-05;12155,6123046875;674,505859375;
65;-0,360000014305115;-2,89248127955943E-05;12446,0625;684,57421875;
66;-0,349999994039536;-2,75107813649811E-05;12722,28515625;694,6435546875;
67;-0,340000003576279;-2,61296172539005E-05;13012,0546875;704,7119140625;
68;-0,330000013113022;-2,47898242378142E-05;13311,9140625;714,7822265625;
69;-0,319999992847443;-2,34181934501976E-05;13664,5888671875;724,8505859375;
70;-0,310000002384186;-2,22313337872038E-05;13944,2822265625;734,919921875;
71;-0,300000011920929;-2,10451562452363E-05;14255,0625;744,990234375;
72;-0,28999999165535;-1,99449459614698E-05;14540,0244140625;755,05859375;
73;-0,280000001192093;-1,89058082469273E-05;14810,263671875;765,12890625;
74;-0,270000010728836;-1,78434966073837E-05;15131,564453125;775,197265625;
75;-0,259999990463257;-1,68588539963821E-05;15422,1630859375;785,267578125;
76;-0,25;-1,59586834342917E-05;15665,453125;795,3369140625;
77;-0,239999994635582;-1,50832847793936E-05;15911,6533203125;805,404296875;
78;-0,230000004172325;-1,42881226565805E-05;16097,2861328125;815,4755859375;
79;-0,219999998807907;-1,34589708977728E-05;16345,974609375;825,544921875;
80;-0,209999993443489;-1,2694817087322E-05;16542,18359375;835,6142578125;
81;-0,200000002980232;-1,19750657177065E-05;16701,369140625;845,68359375;
82;-0,189999997615814;-1,1308158718748E-05;16802,02734375;855,7509765625;
83;-0,180000007152557;-1,0665217814676E-05;16877,29296875;865,822265625;
84;-0,170000001788139;-1,01838604678051E-05;16693,080078125;885,9423828125;
85;-0,159999996423721;-9,47887474467279E-06;16879,640625;896,0107421875;
86;-0,150000005960464;-8,8891974883154E-06;16874,4140625;906,0791015625;
87;-0,140000000596046;-8,33970716485055E-06;16787,16015625;916,1474609375;
88;-0,129999995231628;-7,78595313022379E-06;16696,734375;926,216796875;
89;-0,119999997317791;-7,25636755305459E-06;16537,19921875;936,28515625;
90;-0,109999999403954;-6,76043782732449E-06;16271,1357421875;946,353515625;
91;-0,100000001490116;-6,29333408141974E-06;15889,8291015625;956,421875;
92;-0,0900000035762787;-5,84440613238257E-06;15399,3408203125;966,490234375;
93;-0,0799999982118607;-5,36842344445176E-06;14901,9541015625;976,55859375;
94;-0,0700000002980232;-4,93212610308547E-06;14192,662109375;986,6279296875;
95;-0,0599999986588955;-4,4420348785934E-06;13507,322265625;996,6982421875;
96;-0,0500000007450581;-4,04182446800405E-06;12370,6513671875;1006,767578125;
97;-0,0399999991059303;-3,6398437259777E-06;10989,482421875;1016,8388671875;
98;-0,0299999993294477;-3,2227442261501E-06;9308,8369140625;1026,908203125;
99;-0,0199999995529652;-2,84240832115756E-06;7036,28662109375;1036,9765625;
100;-0,00999999977648258;-2,3299387521547E-06;4291,9580078125;1047,044921875;
101;0;-2,01202442440263E-06;0;1057,1123046875;
102;0,00999999977648258;-1,67060500189109E-06;-5985,85546875;1067,181640625;
103;0,0199999995529652;-1,44029456805583E-06;-13886,0478515625;1077,2509765625;
104;0,0299999993294477;-1,10836924704927E-06;-27066,791015625;1087,3203125;
105;0,0399999991059303;-1,40417273541971E-06;-28486,5234375;1127,5458984375;
106;0,0500000007450581;-1,09537654680025E-06;-45646,40625;1137,615234375;
107;0,0599999986588955;-1,0310975540051E-06;-58190,41796875;1157,736328125;
108;0,0700000002980232;-7,72049304487155E-07;-90667,78125;1167,802734375;
109;0,0799999982118607;-6,11201869560318E-07;-130889,6484375;1177,87109375;
110;0,0900000035762787;-4,17178569023235E-07;-215734,96875;1187,9404296875;
111;0,100000001490116;-3,78390524247152E-07;-264277,25;1198,0078125;
112;0,109999999403954;-5,31944444048804E-08;-2067885,125;1208,0751953125;
113;0,119999997317791;1,14606031331732E-07;1047065,3125;1218,1416015625;
114;0,129999995231628;3,08260837300622E-07;421720,75;1228,20703125;
115;0,140000000596046;5,11381927026378E-07;273768;1238,271484375;
116;0,150000005960464;7,10685583271697E-07;211063,8125;1248,330078125;
117;0,159999996423721;5,37713901849202E-07;297556;1278,4765625;
118;0,170000001788139;7,98537996615778E-07;212889,0625;1298,595703125;
119;0,180000007152557;1,30570344936132E-06;137856,734375;1328,7431640625;
120;0,189999997615814;1,89208924439299E-06;100418,09375;1338,8115234375;
121;0,200000002980232;2,64821392192971E-06;75522,6015625;1348,880859375;
122;0,209999993443489;3,45889270647604E-06;60713,0703125;1358,9501953125;
123;0,219999998807907;4,23904930357821E-06;51898,4296875;1369,0185546875;
124;0,230000004172325;5,03827232023468E-06;45650,5703125;1379,087890625;
125;0,239999994635582;5,74836531086476E-06;41751;1389,15625;
126;0,25;6,37534958514152E-06;39213,53515625;1399,2236328125;
127;0,259999990463257;6,8064814513491E-06;38198,8828125;1409,29296875;
128;0,270000010728836;7,07949902789551E-06;38138,29296875;1419,36328125;
129;0,280000001192093;7,04360036252183E-06;39752,3984375;1429,4296875;
130;0,28999999165535;6,72641817800468E-06;43113,58203125;1439,498046875;
131;0,300000011920929;6,31011243967805E-06;47542,73828125;1449,5693359375;
132;0,310000002384186;5,92348987993319E-06;52334,015625;1459,638671875;
133;0,319999992847443;5,5476311899838E-06;57682,27734375;1469,70703125;
134;0,330000013113022;5,2197015065758E-06;63222,0078125;1479,7744140625;
135;0,340000003576279;4,8396514102933E-06;70252,9921875;1489,8427734375;
136;0,349999994039536;4,580384484143E-06;76412,796875;1499,912109375;
137;0,360000014305115;4,31649641541298E-06;83400,9765625;1509,982421875;
138;0,370000004768372;4,07781999456347E-06;90734,7578125;1520,05078125;
139;0,379999995231628;3,85443172490341E-06;98587,8125;1530,1201171875;
140;0,389999985694885;3,66460449185979E-06;106423,484375;1540,1875;
141;0,400000005960464;3,50934942616732E-06;113981,2421875;1550,2578125;
142;0,409999996423721;3,45690341418958E-06;118603,2578125;1560,326171875;
143;0,419999986886978;3,35826825903496E-06;125064,453125;1570,3974609375;
144;0,430000007152557;3,30740340359625E-06;130011,359375;1580,4658203125;
145;0,439999997615814;3,25550558955001E-06;135155,65625;1590,5341796875;
146;0,449999988079071;3,19533137371764E-06;140830,453125;1600,603515625;
147;0,46000000834465;3,13719692712766E-06;146627,71875;1610,67578125;
148;0,469999998807907;3,07194000015443E-06;152997,78125;1620,744140625;
149;0,479999989271164;3,00000579045445E-06;159999,6875;1630,8134765625;
150;0,490000009536743;2,9108975923009E-06;168332,953125;1640,880859375;
151;0,5;2,83847953141958E-06;176150,640625;1650,951171875;
152;0,509999990463257;2,7655805752147E-06;184409,734375;1661,0205078125;
153;0,519999980926514;2,67245718532649E-06;194577,484375;1671,0908203125;
154;0,529999971389771;2,599101890155E-06;203916,578125;1681,158203125;
155;0,540000021457672;2,52322888627532E-06;214011,515625;1691,2265625;
156;0,550000011920929;2,4623143417557E-06;223367,09375;1701,294921875;
157;0,560000002384186;2,38651819017832E-06;234651,46875;1711,365234375;
158;0,569999992847443;2,32982074521715E-06;244654,015625;1721,4345703125;
159;0,579999983310699;2,32850379688898E-06;249086,984375;1731,50390625;
160;0,589999973773956;2,25495068661985E-06;261646,515625;1741,5732421875;
161;0,600000023841858;2,22391236093245E-06;269794,8125;1751,6416015625;
162;0,610000014305115;2,23695997192408E-06;272691,53125;1761,7099609375;
163;0,620000004768372;2,16926764551317E-06;285810,75;1771,779296875;
164;0,629999995231628;2,1990836103214E-06;286482,96875;1781,8466796875;
165;0,639999985694885;2,22397352445114E-06;287773,21875;1791,916015625;
166;0,649999976158142;2,1544055925915E-06;301707,34375;1801,9853515625;
167;0,660000026226044;2,2255201201915E-06;296559,90625;1812,0537109375;
168;0,670000016689301;2,23481697503303E-06;299800,84375;1822,123046875;
169;0,680000007152557;2,25638473239087E-06;301367,0625;1832,1923828125;
170;0,689999997615814;2,32059619520442E-06;297337,375;1842,26171875;
171;0,699999988079071;2,3646659883525E-06;296024,875;1852,330078125;
172;0,709999978542328;2,38225038629025E-06;298037,5;1862,3984375;
173;0,720000028610229;2,42122200688755E-06;297370,5;1872,4658203125;
174;0,730000019073486;2,43016825152154E-06;300390,71875;1882,5341796875;
175;0,740000009536743;2,46420790972479E-06;300299,34375;1892,603515625;
176;0,75;2,52086533691909E-06;297516,875;1902,6728515625;
177;0,759999990463257;2,57330702879699E-06;295339,8125;1912,7421875;
178;0,769999980926514;2,60480464930879E-06;295607,5625;1922,8115234375;
179;0,779999971389771;2,64093569057877E-06;295349,84375;1932,880859375;
180;0,790000021457672;2,68566259364889E-06;294154,59375;1942,951171875;
181;0,800000011920929;2,7451123969513E-06;291427,0625;1953,0205078125;
182;0,810000002384186;2,80152062259731E-06;289128,6875;1963,0888671875;
183;0,819999992847443;2,85855526271916E-06;286858,1875;1973,1591796875;
184;0,829999983310699;2,94315782412014E-06;282010;1983,228515625;
185;0,839999973773956;3,01134491564881E-06;278945,125;1993,296875;
186;0,850000023841858;3,10958057525568E-06;273348,78125;2003,3662109375;
187;0,860000014305115;3,20537446896196E-06;268299,40625;2013,435546875;
188;0,870000004768372;3,32575655193068E-06;261594,609375;2023,50390625;
189;0,879999995231628;3,72728663933231E-06;236096,671875;2033,57421875;
190;0,889999985694885;4,24857807956869E-06;209481,84375;2043,6435546875;
191;0,899999976158142;5,12813039676985E-06;175502,546875;2053,712890625;
192;0,910000026226044;5,99711574977846E-06;151739,609375;2063,783203125;
193;0,920000016689301;8,51923687150702E-06;107990,8984375;2073,8515625;
194;0,930000007152557;1,02767253338243E-05;90495,7578125;2083,9208984375;
195;0,939999997615814;2,0282172044972E-05;46346,12109375;2114,068359375;
196;0,949999988079071;3,14875942422077E-05;30170,611328125;2124,140625;
197;0,959999978542328;3,93682494177483E-05;24385,1328125;2134,2109375;
198;0,970000028610229;4,84373813378625E-05;20025,85546875;2144,279296875;
199;0,980000019073486;4,95239000883885E-05;19788,42578125;2154,34765625;
200;0,990000009536743;5,1373182941461E-05;19270,75390625;2164,41796875;
201;1;4,65540288132615E-05;21480,41796875;2174,48828125;
