Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1;2,8290646696405E-06;353473,71875;20,033203125;
2;0,990000009536743;2,27132181862544E-06;435869,53125;30,1025390625;
3;0,980000019073486;1,92906259144365E-06;508018,78125;40,171875;
4;0,970000028610229;1,68694703006622E-06;575003,25;50,2412109375;
5;0,959999978542328;1,4982026641519E-06;640767,75;60,3095703125;
6;0,949999988079071;1,34606375468138E-06;705761,5;70,3779296875;
7;0,939999997615814;1,22015296710742E-06;770395,1875;80,4462890625;
8;0,930000007152557;1,11005363123695E-06;837797,375;90,515625;
9;0,920000016689301;1,01376951988641E-06;907504,125;100,5849609375;
10;0,910000026226044;9,24095616028353E-07;984746,625;120,7041015625;
11;0,899999976158142;8,46731495585118E-07;1062910,75;130,7734375;
12;0,889999985694885;7,82257075115922E-07;1137733,375;140,84375;
13;0,879999995231628;7,21720027740957E-07;1219309,375;150,9130859375;
14;0,870000004768372;6,71519728712155E-07;1295568,75;160,982421875;
15;0,860000014305115;6,2440778947348E-07;1377305,125;171,05078125;
16;0,850000023841858;5,83131111397961E-07;1457648,25;181,119140625;
17;0,839999973773956;5,42769953426614E-07;1547617;191,1904296875;
18;0,829999983310699;5,06673757172393E-07;1638135;201,259765625;
19;0,819999992847443;4,74560494012621E-07;1727914,625;211,328125;
20;0,810000002384186;4,42658091515113E-07;1829854,75;221,3984375;
21;0,800000011920929;4,15056859992546E-07;1927446,75;231,466796875;
22;0,790000021457672;3,88804181739033E-07;2031871,25;241,53515625;
23;0,779999971389771;3,61211419885876E-07;2159400;251,603515625;
24;0,769999980926514;3,38274304567676E-07;2276259,25;261,671875;
25;0,759999990463257;3,15911620418774E-07;2405736;271,740234375;
26;0,75;2,96355608497834E-07;2530743,5;281,810546875;
27;0,740000009536743;2,76582994729324E-07;2675508;291,8779296875;
28;0,730000019073486;2,57578221862786E-07;2834090,5;301,9462890625;
29;0,720000028610229;2,38075116953951E-07;3024255,75;312,015625;
30;0,709999978542328;2,2033816549083E-07;3222319,5;322,0849609375;
31;0,699999988079071;2,0269645517601E-07;3453439,75;332,154296875;
32;0,689999997615814;1,86716548000732E-07;3695441;342,2236328125;
33;0,680000007152557;1,70016065226264E-07;3999622;352,2919921875;
34;0,670000016689301;1,55823457248516E-07;4299738;362,3603515625;
35;0,660000026226044;1,40766289291605E-07;4688623;372,4306640625;
36;0,649999976158142;1,27676187844372E-07;5091004;382,4990234375;
37;0,639999985694885;1,15145233792191E-07;5558198;392,5673828125;
38;0,629999995231628;1,01264006957535E-07;6221361,5;402,63671875;
39;0,620000004768372;8,87866278276306E-08;6983033,5;412,70703125;
40;0,610000014305115;7,78550344193718E-08;7835075;422,7763671875;
41;0,600000023841858;6,79152734051058E-08;8834537;432,845703125;
42;0,589999973773956;5,77532368595257E-08;10215877;442,9140625;
43;0,579999983310699;4,94151422003597E-08;11737293;452,9833984375;
44;0,569999992847443;4,11313614279152E-08;13858039;463,052734375;
45;0,560000002384186;3,32164233896037E-08;16859130;473,1220703125;
46;0,550000011920929;2,78264167263842E-08;19765392;483,19140625;
47;0,540000021457672;2,10478638962286E-08;25655812;493,2607421875;
48;0,529999971389771;1,69941234418047E-08;31187250;503,328125;
49;0,519999980926514;1,06417763490185E-08;48864020;513,396484375;
50;0,509999990463257;7,82614950622929E-09;65166144;523,466796875;
51;0,5;4,86688245260325E-09;102735168;533,533203125;
52;0,490000009536743;6,0390248357578E-10;811389312;543,6015625;
53;0,479999989271164;-2,1859014598391E-09;-219589040;553,6708984375;
54;0,469999998807907;-4,85240381209451E-09;-96859208;563,740234375;
55;0,46000000834465;-6,78775924356501E-09;-67769048;573,810546875;
56;0,449999988079071;-8,01939847860922E-09;-56113932;583,87890625;
57;0,439999997615814;-9,99820048974698E-09;-44007920;593,94921875;
58;0,430000007152557;-1,13426041892239E-08;-37910168;604,017578125;
59;0,419999986886978;-1,23612986513422E-08;-33977012;614,0859375;
60;0,409999996423721;-1,29081971778078E-08;-31762762;624,1552734375;
61;0,400000005960464;-1,40497578016152E-08;-28470242;634,224609375;
62;0,389999985694885;-1,44612810615286E-08;-26968564;644,2919921875;
63;0,379999995231628;-1,43592622237065E-08;-26463754;654,3603515625;
64;0,370000004768372;-1,51422501204479E-08;-24434942;664,4287109375;
65;0,360000014305115;-1,47664209748655E-08;-24379640;674,4990234375;
66;0,349999994039536;-1,47848195908296E-08;-23672930;684,5693359375;
67;0,340000003576279;-1,49723415887593E-08;-22708540;694,63671875;
68;0,330000013113022;-1,58295136998277E-08;-20847136;704,7060546875;
69;0,319999992847443;-1,51484300658922E-08;-21124300;714,7734375;
70;0,310000002384186;-1,56166937159696E-08;-19850552;724,841796875;
71;0,300000011920929;-1,51553365412838E-08;-19795008;734,91015625;
72;0,28999999165535;-1,55588590899924E-08;-18638898;744,9814453125;
73;0,280000001192093;-1,51514853996559E-08;-18480036;755,0517578125;
74;0,270000010728836;-1,53673394009957E-08;-17569730;765,1220703125;
75;0,259999990463257;-1,54595465318152E-08;-16818086;775,189453125;
76;0,25;-1,56279753582567E-08;-15996954;785,2578125;
77;0,239999994635582;-1,55449377814421E-08;-15439109;795,326171875;
78;0,230000004172325;-1,56763348968525E-08;-14671797;805,396484375;
79;0,219999998807907;-1,56377328863755E-08;-14068535;815,46484375;
80;0,209999993443489;-1,60883377731125E-08;-13052933;825,5341796875;
81;0,200000002980232;-1,62301851958091E-08;-12322719;835,6025390625;
82;0,189999997615814;-1,65182960643051E-08;-11502397;845,669921875;
83;0,180000007152557;-1,64090341314704E-08;-10969567;855,7373046875;
84;0,170000001788139;-1,64694675675037E-08;-10322131;865,8056640625;
85;0,159999996423721;-1,76897572146117E-08;-9044782;875,8740234375;
86;0,150000005960464;-1,76542105378985E-08;-8496557;885,9423828125;
87;0,140000000596046;-1,86467730145523E-08;-7508001,5;896,01171875;
88;0,129999995231628;-1,94156779542709E-08;-6695619,5;906,08203125;
89;0,119999997317791;-2,02490824108281E-08;-5926194,5;916,1494140625;
90;0,109999999403954;-2,13024033968168E-08;-5163736,5;926,2177734375;
91;0,100000001490116;-2,26886900378531E-08;-4407482,5;936,287109375;
92;0,0900000035762787;-2,40929178829674E-08;-3735537,75;946,3544921875;
93;0,0799999982118607;-2,57246828283542E-08;-3109853,75;956,4228515625;
94;0,0700000002980232;-2,77859673047942E-08;-2519257,25;966,4912109375;
95;0,0599999986588955;-2,8974858068409E-08;-2070760,75;976,560546875;
96;0,0500000007450581;-3,13762456016775E-08;-1593562,25;986,630859375;
97;0,0399999991059303;-3,43939490221601E-08;-1162995,25;996,7001953125;
98;0,0299999993294477;-3,72671813408942E-08;-804997,8125;1006,7685546875;
99;0,0199999995529652;-3,98374595533824E-08;-502040,03125;1016,8369140625;
100;0,00999999977648258;-4,27257589308283E-08;-234050,84375;1026,9052734375;
101;0;-4,72015351249411E-08;0;1036,974609375;
102;-0,00999999977648258;-5,03732060508355E-08;198518,234375;1047,0419921875;
103;-0,0199999995529652;-5,4528776161078E-08;366778,8125;1057,111328125;
104;-0,0299999993294477;-5,88929083278344E-08;509399,1875;1067,1806640625;
105;-0,0399999991059303;-6,45077733452126E-08;620080,3125;1077,25;
106;-0,0500000007450581;-7,03004658930695E-08;711232,875;1087,318359375;
107;-0,0599999986588955;-7,69744445960896E-08;779479,4375;1097,3876953125;
108;-0,0700000002980232;-8,40163139059769E-08;833171,5;1107,45703125;
109;-0,0799999982118607;-9,48540446188417E-08;843401;1117,525390625;
110;-0,0900000035762787;-1,03880104518339E-07;866383,4375;1127,595703125;
111;-0,100000001490116;-1,14055296762672E-07;876767,6875;1137,6630859375;
112;-0,109999999403954;-1,2593984877185E-07;873432,8125;1147,732421875;
113;-0,119999997317791;-1,38651188308359E-07;865481,1875;1157,8017578125;
114;-0,129999995231628;-1,52799572106233E-07;850787,6875;1167,87109375;
