Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-1;-2,79642481473275E-05;35759,9453125;9,984375;
2;-0,990000009536743;-2,76042192126624E-05;35864,08203125;20,052734375;
3;-0,980000019073486;-2,74144003924448E-05;35747,63671875;30,12109375;
4;-0,970000028610229;-2,70795480901143E-05;35820,390625;40,1904296875;
5;-0,959999978542328;-2,67465402430389E-05;35892,4921875;50,2607421875;
6;-0,949999988079071;-2,63570491370047E-05;36043,48828125;60,3291015625;
7;-0,939999997615814;-2,596152080514E-05;36207,43359375;70,3994140625;
8;-0,930000007152557;-2,54803180723684E-05;36498,7578125;80,46875;
9;-0,920000016689301;-2,50321754720062E-05;36752,69921875;90,537109375;
10;-0,910000026226044;-2,45604987867409E-05;37051,3671875;100,6064453125;
11;-0,899999976158142;-2,41058442043141E-05;37335,34375;110,677734375;
12;-0,889999985694885;-2,37867589021334E-05;37415,7734375;120,74609375;
13;-0,879999995231628;-2,344538916077E-05;37534,03125;130,814453125;
14;-0,870000004768372;-2,30392579396721E-05;37761,6328125;140,8837890625;
15;-0,860000014305115;-2,26642150664702E-05;37945,28125;150,9521484375;
16;-0,850000023841858;-2,21037444134708E-05;38455,0234375;161,0224609375;
17;-0,839999973773956;-2,17321521631675E-05;38652,40625;171,0908203125;
18;-0,829999983310699;-2,12879531318322E-05;38989,1875;181,1591796875;
19;-0,819999992847443;-2,09992067539133E-05;39049,09375;191,2294921875;
20;-0,810000002384186;-2,05887081392575E-05;39341,953125;201,296875;
21;-0,800000011920929;-2,02103619812988E-05;39583,65625;211,3671875;
22;-0,790000021457672;-1,97847293748055E-05;39929,78515625;221,4365234375;
23;-0,779999971389771;-1,9364662875887E-05;40279,5546875;231,505859375;
24;-0,769999980926514;-1,89692527783336E-05;40592,00390625;241,57421875;
25;-0,759999990463257;-1,8578344679554E-05;40907,84375;251,642578125;
26;-0,75;-1,82109324669E-05;41184,05078125;261,7109375;
27;-0,740000009536743;-1,78491973201744E-05;41458,44921875;271,779296875;
28;-0,730000019073486;-1,74974611582002E-05;41720,33984375;281,8486328125;
29;-0,720000028610229;-1,71962092281319E-05;41869,6953125;291,91796875;
30;-0,709999978542328;-1,68535207194509E-05;42127,6953125;301,9873046875;
31;-0,699999988079071;-1,65389174071606E-05;42324,4140625;312,0546875;
32;-0,689999997615814;-1,62034993991256E-05;42583,39453125;322,125;
33;-0,680000007152557;-1,58715265570208E-05;42844,01953125;332,1953125;
34;-0,670000016689301;-1,55439647642197E-05;43103,546875;342,2646484375;
35;-0,660000026226044;-1,52035527207772E-05;43410,90625;352,3330078125;
36;-0,649999976158142;-1,4809761523793E-05;43889,96875;362,4033203125;
37;-0,639999985694885;-1,4482989172393E-05;44189,7734375;372,47265625;
38;-0,629999995231628;-1,41835516842548E-05;44417,6484375;382,5439453125;
39;-0,620000004768372;-1,38695741043193E-05;44702,16796875;392,6123046875;
40;-0,610000014305115;-1,35678174046916E-05;44959,33203125;402,6826171875;
41;-0,600000023841858;-1,32945942823426E-05;45131,12890625;412,7529296875;
42;-0,589999973773956;-1,30308480947861E-05;45277,171875;422,822265625;
43;-0,579999983310699;-1,27643397718202E-05;45439,08984375;432,892578125;
44;-0,569999992847443;-1,25053002193454E-05;45580,671875;442,9599609375;
45;-0,560000002384186;-1,22374058264541E-05;45761,33203125;453,0283203125;
46;-0,550000011920929;-1,19654232548783E-05;45965,78125;463,0986328125;
