Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1;5,81825406698044E-06;171872,859375;20,03515625;
2;0,990000009536743;6,61826197756454E-06;149586,109375;30,1044921875;
3;0,980000019073486;1,6566216800129E-05;59156,5390625;60,271484375;
4;0,970000028610229;1,69780978467315E-05;57132,43359375;70,341796875;
5;0,959999978542328;1,76369085238548E-05;54431,30859375;80,4111328125;
6;0,949999988079071;1,75964087247849E-05;53988,2890625;90,4794921875;
7;0,939999997615814;1,7394166206941E-05;54041,10546875;100,5498046875;
8;0,930000007152557;1,70137373061152E-05;54661,7109375;110,6201171875;
9;0,920000016689301;1,67368107213406E-05;54968,65625;120,689453125;
10;0,910000026226044;1,63632594194496E-05;55612,39453125;130,7578125;
11;0,899999976158142;1,60598756338004E-05;56040,28125;140,8271484375;
12;0,889999985694885;1,56119640450925E-05;57007,5625;150,896484375;
13;0,879999995231628;1,51760223161546E-05;57986,20703125;160,9658203125;
14;0,870000004768372;1,45366248034406E-05;59848,83203125;171,0322265625;
15;0,860000014305115;1,41962809721008E-05;60579,24609375;181,103515625;
16;0,850000023841858;1,37897750391858E-05;61639,875;191,1708984375;
17;0,839999973773956;1,29392383314553E-05;64918,8125;201,240234375;
18;0,829999983310699;1,22196552183595E-05;67923,359375;211,310546875;
19;0,819999992847443;1,18579264380969E-05;69152,0546875;221,380859375;
20;0,810000002384186;1,16332321340451E-05;69628,109375;231,44921875;
21;0,800000011920929;1,12162369987345E-05;71325,171875;241,5185546875;
22;0,790000021457672;1,08298563645803E-05;72946,4921875;251,5888671875;
23;0,779999971389771;1,04256059785257E-05;74815,7890625;261,658203125;
24;0,769999980926514;1,02095282272785E-05;75419,7421875;271,73046875;
25;0,759999990463257;1,00306306194398E-05;75767,9140625;281,7998046875;
26;0,75;9,82409801508766E-06;76342,8828125;301,91796875;
27;0,740000009536743;9,54498409555526E-06;77527,6328125;311,986328125;
28;0,730000019073486;9,22806702874368E-06;79106,4921875;322,056640625;
29;0,720000028610229;8,8511305875727E-06;81345,546875;332,125;
30;0,709999978542328;6,53633105685003E-06;108623,625;342,1962890625;
31;0,699999988079071;6,49911999062169E-06;107706,890625;352,267578125;
32;0,689999997615814;6,35429205431137E-06;108588,0234375;362,3349609375;
33;0,680000007152557;6,22010657025385E-06;109322,890625;372,404296875;
34;0,670000016689301;6,21011758994428E-06;107888,4609375;382,47265625;
35;0,660000026226044;6,0848306020489E-06;108466,4609375;392,54296875;
36;0,649999976158142;5,70204610994551E-06;113994,1640625;402,611328125;
37;0,639999985694885;5,53177324036369E-06;115695,265625;412,6806640625;
38;0,629999995231628;5,45881994185038E-06;115409,5546875;422,75;
39;0,620000004768372;5,25586892763386E-06;117963,3671875;432,818359375;
40;0,610000014305115;5,00323767482769E-06;121921,0546875;442,8876953125;
41;0,600000023841858;4,66751953354105E-06;128547,9375;452,95703125;
42;0,589999973773956;4,46155172539875E-06;132240,984375;463,0263671875;
43;0,579999983310699;4,19369780502166E-06;138302,765625;473,0947265625;
44;0,569999992847443;3,85591147278319E-06;147824,96875;483,1650390625;
45;0,560000002384186;3,59201249011676E-06;155901,46875;493,236328125;
46;0,550000011920929;3,35361210090923E-06;164002,28125;503,3046875;
47;0,540000021457672;3,12193287754781E-06;172969,765625;513,3740234375;
48;0,529999971389771;2,96889061246475E-06;178517,84375;523,443359375;
49;0,519999980926514;2,81066081697645E-06;185009,859375;533,5126953125;
50;0,509999990463257;2,68337021225307E-06;190059,5;543,580078125;
51;0,5;2,60160595644265E-06;192188,984375;553,6494140625;
52;0,490000009536743;2,33928994930466E-06;209465,28125;563,7177734375;
53;0,479999989271164;2,15792897506617E-06;222435,484375;573,7861328125;
54;0,469999998807907;1,96918540495972E-06;238677,375;583,853515625;
