Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-1;-3,93015252484474E-05;25444,3046875;9,9892578125;
2;-0,990000009536743;-3,90759669244289E-05;25335,265625;20,0595703125;
3;-0,980000019073486;-4,29370156780351E-05;22824,12890625;30,12890625;
4;-0,970000028610229;-4,28753446612973E-05;22623,724609375;40,197265625;
5;-0,959999978542328;-4,23606943513732E-05;22662,517578125;50,2685546875;
6;-0,949999988079071;-4,1600094846217E-05;22836,486328125;60,337890625;
7;-0,939999997615814;-4,05930004490074E-05;23156,701171875;70,40625;
8;-0,930000007152557;-3,94739145122003E-05;23559,86328125;80,4755859375;
9;-0,920000016689301;-3,8487916754093E-05;23903,607421875;90,546875;
10;-0,910000026226044;-3,75644376617856E-05;24225,041015625;100,6142578125;
11;-0,899999976158142;-3,67310349247418E-05;24502,439453125;110,6865234375;
12;-0,889999985694885;-3,59193472831976E-05;24777,732421875;120,7548828125;
13;-0,879999995231628;-3,50872396666091E-05;25080,341796875;130,8232421875;
14;-0,870000004768372;-3,43893843819387E-05;25298,50390625;140,8916015625;
15;-0,860000014305115;-3,36273769789841E-05;25574,400390625;150,9609375;
16;-0,850000023841858;-3,28796813846566E-05;25851,83203125;161,0302734375;
17;-0,839999973773956;-3,22053856507409E-05;26082,59375;171,1005859375;
18;-0,829999983310699;-3,16188998112921E-05;26250,123046875;181,1689453125;
19;-0,819999992847443;-3,10120303765871E-05;26441,3515625;191,2373046875;
20;-0,810000002384186;-3,04089408018626E-05;26636,90234375;201,30859375;
21;-0,800000011920929;-2,9780914701405E-05;26862,841796875;211,3779296875;
22;-0,790000021457672;-2,91082396870479E-05;27140,08203125;221,447265625;
23;-0,779999971389771;-2,85414826066699E-05;27328,642578125;231,5146484375;
24;-0,769999980926514;-2,80294898402644E-05;27471,06640625;241,583984375;
25;-0,759999990463257;-2,74283938779263E-05;27708,51171875;251,654296875;
26;-0,75;-2,67826035269536E-05;28003,251953125;261,7236328125;
27;-0,740000009536743;-2,62126814050134E-05;28230,611328125;271,7919921875;
28;-0,730000019073486;-2,56254297710257E-05;28487,328125;281,861328125;
29;-0,720000028610229;-2,50286484515527E-05;28767,03515625;291,9306640625;
30;-0,709999978542328;-2,44487328018295E-05;29040,359375;302,0009765625;
31;-0,699999988079071;-2,38856355281314E-05;29306,31640625;312,0703125;
32;-0,689999997615814;-2,33465252676979E-05;29554,71875;322,1396484375;
33;-0,680000007152557;-2,27893378905719E-05;29838,515625;332,2099609375;
34;-0,670000016689301;-2,23582937906031E-05;29966,509765625;342,2802734375;
35;-0,660000026226044;-2,20941310544731E-05;29872,1875;352,3515625;
36;-0,649999976158142;-2,15906220546458E-05;30105,662109375;362,419921875;
37;-0,639999985694885;-2,12018894671928E-05;30185,98828125;372,490234375;
38;-0,629999995231628;-2,07664234039839E-05;30337,43359375;382,560546875;
39;-0,620000004768372;-2,02946357603651E-05;30549,9453125;392,630859375;
40;-0,610000014305115;-1,99573369172867E-05;30565,201171875;402,701171875;
41;-0,600000023841858;-1,97434073925251E-05;30389,892578125;412,7724609375;
42;-0,589999973773956;-1,93410141946515E-05;30505,12109375;422,8408203125;
43;-0,579999983310699;-1,89258225873346E-05;30645,958984375;432,9091796875;
44;-0,569999992847443;-1,86121742444811E-05;30625,115234375;442,98046875;
45;-0,560000002384186;-1,82091534952633E-05;30753,763671875;453,048828125;
46;-0,550000011920929;-1,78106220118934E-05;30880,44921875;463,1181640625;
47;-0,540000021457672;-1,73814059962751E-05;31067,68359375;473,1865234375;
48;-0,529999971389771;-1,68877231772058E-05;31383,744140625;483,255859375;
49;-0,519999980926514;-1,64772754942533E-05;31558,61328125;493,3251953125;
50;-0,509999990463257;-1,61222160386387E-05;31633,3671875;503,392578125;
51;-0,5;-1,58123439177871E-05;31620,865234375;513,462890625;
52;-0,490000009536743;-1,54612389451358E-05;31692,15625;523,5322265625;
53;-0,479999989271164;-1,50440682773478E-05;31906,26171875;533,6005859375;
