Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1;0,000392666959669441;2546,6875;30,1064453125;
2;0,990000009536743;0,000383745413273573;2579,83544921875;40,17578125;
3;0,980000019073486;0,000381931458832696;2565,90551757813;50,24609375;
4;0,970000028610229;0,000374410185031593;2590,74145507813;60,314453125;
5;0,959999978542328;0,000360477541107684;2663,13403320313;70,384765625;
6;0,949999988079071;0,000354826479451731;2677,36499023438;80,455078125;
7;0,939999997615814;0,000350627844454721;2680,9052734375;90,5234375;
8;0,930000007152557;0,000348958827089518;2665,07080078125;100,5908203125;
9;0,920000016689301;0,000343716063071042;2676,6279296875;110,658203125;
10;0,910000026226044;0,000302299536997452;3010,25952148438;120,728515625;
11;0,899999976158142;0,000300442654406652;2995,57983398438;130,796875;
12;0,889999985694885;0,000278583640465513;3194,73168945313;140,8671875;
13;0,879999995231628;0,000276008096989244;3188,31225585938;150,935546875;
14;0,870000004768372;0,000280265259789303;3104,2021484375;161,009765625;
15;0,860000014305115;0,000285827700281516;3008,8056640625;171,076171875;
16;0,850000023841858;0,000251441146247089;3380,51293945313;181,146484375;
17;0,839999973773956;0,000258122890954837;3254,263671875;191,2158203125;
18;0,829999983310699;0,000259025488048792;3204,31787109375;201,287109375;
19;0,819999992847443;0,000247268762905151;3316,2294921875;211,3564453125;
20;0,810000002384186;0,000249087810516357;3251,865234375;221,42578125;
21;0,800000011920929;0,0002460605755914;3251,23193359375;231,494140625;
22;0,790000021457672;0,000240547858993523;3284,169921875;241,5625;
23;0,779999971389771;0,00023864496324677;3268,45361328125;251,6328125;
24;0,769999980926514;0,000229267083341256;3358,5283203125;261,7021484375;
25;0,759999990463257;0,00022433559934143;3387,78149414063;271,7734375;
26;0,75;0,000218855333514512;3426,92138671875;281,8408203125;
27;0,740000009536743;0,000215390638913959;3435,6181640625;291,9111328125;
28;0,730000019073486;0,000211061284062453;3458,71118164063;301,9814453125;
29;0,720000028610229;0,000206209631869569;3491,59252929688;312,05078125;
30;0,709999978542328;0,00019831518875435;3580,15942382813;322,12109375;
31;0,699999988079071;0,000194451320567168;3599,87255859375;332,189453125;
32;0,689999997615814;0,000190162114449777;3628,48291015625;342,2587890625;
33;0,680000007152557;0,000185635391972028;3663,0947265625;352,330078125;
34;0,670000016689301;0,000180663409992121;3708,55395507813;362,3984375;
35;0,660000026226044;0,000177090303623118;3726,91235351563;372,4677734375;
36;0,649999976158142;0,000171737192431465;3784,85278320313;382,5390625;
