Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-1;-0,000918199773877859;1089,08764648438;30,107421875;
2;-0,990000009536743;-0,000787198427133262;1257,62451171875;40,17578125;
3;-0,980000019073486;-0,000720169104170054;1360,79150390625;50,24609375;
4;-0,970000028610229;-0,000800496083684266;1211,74865722656;60,3154296875;
5;-0,959999978542328;-0,000690251297783107;1390,7978515625;70,384765625;
6;-0,949999988079071;-0,000575991114601493;1649,33093261719;80,4560546875;
7;-0,939999997615814;-0,000696183938998729;1350,21789550781;90,525390625;
8;-0,930000007152557;-0,000639670994132757;1453,87243652344;100,59375;
9;-0,920000016689301;-0,000387661333661526;2373,20556640625;110,662109375;
10;-0,910000026226044;-0,000356645527062938;2551,55322265625;120,7314453125;
11;-0,899999976158142;-0,000336457538651302;2674,92895507813;130,80078125;
12;-0,889999985694885;-0,000324660446494818;2741,32568359375;140,8681640625;
13;-0,879999995231628;-0,000467148027382791;1883,77124023438;150,9375;
14;-0,870000004768372;-0,000484060496091843;1797,29602050781;161,0078125;
15;-0,860000014305115;-0,00033877239911817;2538,57763671875;171,0771484375;
16;-0,850000023841858;-0,00048530095955357;1751,49047851563;181,1474609375;
17;-0,839999973773956;-0,000461239484138787;1821,1796875;191,2177734375;
18;-0,829999983310699;-0,000386641855584458;2146,689453125;201,2861328125;
19;-0,819999992847443;-0,000348947127349675;2349,92626953125;211,3544921875;
20;-0,810000002384186;-0,000338684651069343;2391,60522460938;221,423828125;
21;-0,800000011920929;-0,000434884335845709;1839,56958007813;231,4931640625;
22;-0,790000021457672;-0,000473613763460889;1668,02587890625;241,5625;
23;-0,779999971389771;-0,000412842142395675;1889,34191894531;251,6328125;
24;-0,769999980926514;-0,000406750157708302;1893,05395507813;261,7021484375;
25;-0,759999990463257;-0,000326115434290841;2330,46313476563;271,7724609375;
26;-0,75;-0,000396133400499821;1893,30163574219;281,841796875;
27;-0,740000009536743;-0,00029290490783751;2526,41723632813;291,9111328125;
28;-0,730000019073486;-0,000358721619704738;2035,00427246094;301,98046875;
29;-0,720000028610229;-0,000323983520502225;2222,33544921875;312,05078125;
30;-0,709999978542328;-0,000337137840688229;2105,96337890625;322,1201171875;
31;-0,699999988079071;-0,000358940014848486;1950,1865234375;332,1904296875;
32;-0,689999997615814;-0,000319718121318147;2158,15112304688;342,2607421875;
33;-0,680000007152557;-0,000326097826473415;2085,26391601563;352,328125;
34;-0,670000016689301;-0,000302662549074739;2213,6865234375;362,3974609375;
35;-0,660000026226044;-0,000265983195276931;2481,35986328125;372,4658203125;
36;-0,649999976158142;-0,000186332617886364;3488,38525390625;382,53515625;
37;-0,639999985694885;-0,0001824277715059;3508,23779296875;392,603515625;
38;-0,629999995231628;-0,000218012646655552;2889,74072265625;402,6728515625;
39;-0,620000004768372;-0,000182521893293597;3396,85278320313;412,7421875;
40;-0,610000014305115;-0,000192872510524467;3162,7109375;422,8125;
41;-0,600000023841858;-0,000162243653903715;3698,1416015625;432,8818359375;
42;-0,589999973773956;-0,000189844591659494;3107,80493164063;442,951171875;
43;-0,579999983310699;-0,000151833752170205;3819,96752929688;453,0205078125;
44;-0,569999992847443;-0,000167311824043281;3406,81225585938;463,08984375;
45;-0,560000002384186;-0,000216121334233321;2591,13696289063;473,1591796875;
46;-0,550000011920929;-0,000231103927944787;2379,8818359375;483,2294921875;
47;-0,540000021457672;-0,000232261154451407;2324,96923828125;493,298828125;
48;-0,529999971389771;-0,000236715277424082;2238,9765625;503,3681640625;
49;-0,519999980926514;-0,000116028262709733;4481,66650390625;513,4375;
50;-0,509999990463257;-0,000117959993076511;4323,49951171875;523,5078125;
51;-0,5;-0,000124785248772241;4006,8837890625;533,576171875;
52;-0,490000009536743;-0,000129757798276842;3776,26635742188;543,64453125;
53;-0,479999989271164;-0,000167528749443591;2865,1796875;553,7138671875;
54;-0,469999998807907;-0,000169883365742862;2766,60400390625;563,7822265625;
55;-0,46000000834465;-0,000140186282806098;3281,34814453125;573,8525390625;
56;-0,449999988079071;-0,00013204975402914;3407,80639648438;583,921875;
57;-0,439999997615814;-0,000136317554279231;3227,75732421875;593,98828125;
58;-0,430000007152557;-0,00014926960284356;2880,69360351563;604,056640625;
59;-0,419999986886978;-0,000142213451908901;2953,30712890625;614,1259765625;
60;-0,409999996423721;-0,000133952999021858;3060,77514648438;624,1953125;
61;-0,400000005960464;-0,00010988388385158;3640,20629882813;634,2646484375;
62;-0,389999985694885;-0,000102289144706447;3812,72119140625;644,333984375;
63;-0,379999995231628;-0,000108116939372849;3514,712890625;684,5517578125;
64;-0,370000004768372;-9,57990559982136E-05;3862,2509765625;704,669921875;
65;-0,360000014305115;-8,84522669366561E-05;4069,99194335938;714,734375;
66;-0,349999994039536;-0,000100526296591852;3481,67602539063;724,802734375;
67;-0,340000003576279;-0,000104422870208509;3255,99169921875;734,861328125;
68;-0,330000013113022;-9,59340250119567E-05;3439,8642578125;744,9208984375;
69;-0,319999992847443;-9,22858453122899E-05;3467,4873046875;754,990234375;
70;-0,310000002384186;-9,20431484701112E-05;3367,98559570313;765,048828125;
71;-0,300000011920929;-8,6273779743351E-05;3477,30224609375;775,1171875;
72;-0,28999999165535;-9,76666560745798E-05;2969,28344726563;785,1875;
73;-0,280000001192093;-7,59299728088081E-05;3687,6083984375;795,255859375;
74;-0,270000010728836;-7,46242149034515E-05;3618,12866210938;805,3271484375;
75;-0,259999990463257;-7,31155960238539E-05;3556,0126953125;815,3974609375;
76;-0,25;-7,04753183526918E-05;3547,34130859375;825,4658203125;
77;-0,239999994635582;-7,06679784343578E-05;3396,16333007813;835,53515625;
78;-0,230000004172325;-2,82806850009365E-05;8132,75927734375;845,6044921875;
79;-0,219999998807907;-2,97946844511898E-05;7383,8671875;855,673828125;
80;-0,209999993443489;-2,97030983347213E-05;7069,96923828125;865,7421875;
81;-0,200000002980232;-2,98738432320533E-05;6694,81982421875;875,8115234375;
82;-0,189999997615814;-2,7384665372665E-05;6938,189453125;885,8798828125;
83;-0,180000007152557;-2,64317368419142E-05;6809,99560546875;895,94921875;
