Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-0,75;-3,30488692270592E-05;22693,666015625;9,984375;
2;-0,740000009536743;-3,11448930006009E-05;23759,9140625;20,052734375;
3;-0,730000019073486;-2,99660769087495E-05;24360,880859375;30,1220703125;
4;-0,720000028610229;-2,90227399091236E-05;24808,134765625;40,1904296875;
5;-0,709999978542328;-2,81796055787709E-05;25195,525390625;50,2607421875;
6;-0,699999988079071;-2,75499041890725E-05;25408,435546875;60,330078125;
7;-0,689999997615814;-2,6661326046451E-05;25880,18359375;70,3994140625;
8;-0,680000007152557;-2,59613698290195E-05;26192,763671875;80,4677734375;
9;-0,670000016689301;-2,53302532655653E-05;26450,5859375;90,5380859375;
10;-0,660000026226044;-2,469843821018E-05;26722,337890625;100,6083984375;
11;-0,649999976158142;-2,40938570641447E-05;26977,830078125;110,677734375;
12;-0,639999985694885;-2,35651423281524E-05;27158,7578125;120,748046875;
13;-0,629999995231628;-2,30486493819626E-05;27333,48828125;130,81640625;
14;-0,620000004768372;-2,24314317165408E-05;27639,787109375;140,884765625;
15;-0,610000014305115;-2,18194436456542E-05;27956,716796875;150,955078125;
16;-0,600000023841858;-2,13174844247987E-05;28145,912109375;161,0234375;
17;-0,589999973773956;-2,07934826903511E-05;28374,2734375;171,0927734375;
18;-0,579999983310699;-2,02411647478584E-05;28654,4765625;181,1630859375;
19;-0,569999992847443;-1,97007666429272E-05;28932,884765625;191,232421875;
20;-0,560000002384186;-1,91761464520823E-05;29202,947265625;201,30078125;
21;-0,550000011920929;-1,86769357242156E-05;29448,0859375;211,3701171875;
22;-0,540000021457672;-1,81977902684594E-05;29673,93359375;221,4384765625;
23;-0,529999971389771;-1,77249949047109E-05;29901,27734375;231,5078125;
24;-0,519999980926514;-1,72486306837527E-05;30147,3203125;241,578125;
25;-0,509999990463257;-1,67917078215396E-05;30372,1328125;251,6474609375;
26;-0,5;-1,63438598974608E-05;30592,529296875;261,716796875;
27;-0,490000009536743;-1,58923867275007E-05;30832,373046875;271,78515625;
28;-0,479999989271164;-1,54522222146625E-05;31063,4921875;281,85546875;
29;-0,469999998807907;-1,50174582813634E-05;31296,908203125;291,923828125;
30;-0,46000000834465;-1,45649173646234E-05;31582,740234375;301,9931640625;
31;-0,449999988079071;-1,41257442010101E-05;31856,728515625;312,0634765625;
32;-0,439999997615814;-1,36923208629014E-05;32134,80078125;322,1328125;
33;-0,430000007152557;-1,32617869894602E-05;32423,986328125;332,2021484375;
34;-0,419999986886978;-1,28517403936712E-05;32680,3984375;342,2705078125;
35;-0,409999996423721;-1,24331927509047E-05;32976,2421875;352,33984375;
36;-0,400000005960464;-1,20192889880855E-05;33279,83984375;362,4091796875;
37;-0,389999985694885;-1,16154888019082E-05;33575,85546875;372,4794921875;
38;-0,379999995231628;-1,12232564788428E-05;33858,265625;382,548828125;
39;-0,370000004768372;-1,08344556792872E-05;34150,30859375;392,6171875;
