Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;0,75;1,62119831657037E-05;46262,07421875;9,984375;
2;0,740000009536743;1,61235657287762E-05;45895,5546875;20,0546875;
3;0,730000019073486;1,5518489817623E-05;47040,66015625;30,1240234375;
4;0,720000028610229;1,44810992424027E-05;49719,984375;40,193359375;
5;0,709999978542328;1,40302590807551E-05;50604,91015625;50,2646484375;
6;0,699999988079071;1,44581936183386E-05;48415,453125;60,3330078125;
7;0,689999997615814;1,40183392431936E-05;49221,23828125;70,40234375;
8;0,680000007152557;1,39640787892858E-05;48696,375;80,47265625;
9;0,670000016689301;1,35871396196308E-05;49311,3359375;90,54296875;
10;0,660000026226044;1,29073259813595E-05;51133,75390625;100,6123046875;
11;0,649999976158142;1,27766506921034E-05;50874,05078125;110,6806640625;
12;0,639999985694885;1,23716090456583E-05;51731,34765625;120,751953125;
13;0,629999995231628;1,17770869110245E-05;53493,703125;130,8212890625;
14;0,620000004768372;1,10340051833191E-05;56189,93359375;140,890625;
15;0,610000014305115;1,00844663393218E-05;60489,07421875;150,9599609375;
16;0,600000023841858;9,38682023843285E-06;63919,41015625;171,078125;
17;0,589999973773956;8,79430990607943E-06;67088,828125;181,1484375;
18;0,579999983310699;7,86767577665159E-06;73719,3515625;191,2197265625;
19;0,569999992847443;7,06156242813449E-06;80718,6796875;201,2890625;
20;0,560000002384186;5,20814319315832E-06;107523,9296875;211,3583984375;
21;0,550000011920929;4,48303899247549E-06;122684,640625;221,4267578125;
22;0,540000021457672;4,39156656284467E-06;122962,9609375;231,4970703125;
23;0,529999971389771;4,29328792961314E-06;123448,5;241,5673828125;
24;0,519999980926514;4,12672761740396E-06;126007,828125;251,63671875;
25;0,509999990463257;3,96221230403171E-06;128715,96875;261,7060546875;
26;0,5;3,75119157070003E-06;133290,984375;271,7744140625;
27;0,490000009536743;3,43987812811974E-06;142446,90625;281,84375;
28;0,479999989271164;3,2521641060157E-06;147594,03125;291,912109375;
29;0,469999998807907;2,98311761071091E-06;157553,296875;301,9794921875;
30;0,46000000834465;2,73493083113863E-06;168194,390625;312,048828125;
31;0,449999988079071;2,32380102715979E-06;193648,25;322,119140625;
32;0,439999997615814;1,98256748262793E-06;221934,4375;332,1884765625;
33;0,430000007152557;1,80068457211746E-06;238798,078125;342,2587890625;
34;0,419999986886978;1,57718068294344E-06;266297,96875;352,330078125;
35;0,409999996423721;1,32337402192206E-06;309814,15625;362,3984375;
36;0,400000005960464;1,08889639705012E-06;367344,40625;372,466796875;
37;0,389999985694885;5,04599370287906E-07;772890,375;392,5859375;
38;0,379999995231628;2,54379301622976E-07;1493832,25;402,6533203125;
39;0,370000004768372;2,03504981755032E-07;1818137,375;412,72265625;
40;0,360000014305115;1,08711496693559E-07;3311517,5;422,7900390625;
41;0,349999994039536;8,61751203729E-08;4061497;432,8583984375;
42;0,340000003576279;5,11871789399265E-08;6642288,5;442,927734375;
43;0,330000013113022;2,19999787276493E-08;15000015;452,9951171875;
44;0,319999992847443;1,66494871223222E-08;19219810;463,0634765625;
45;0,310000002384186;8,72553584940761E-09;35527904;473,1318359375;
46;0,300000011920929;-4,18300771798386E-09;-71718736;483,201171875;
47;0,28999999165535;-1,26560339985815E-09;-229139712;493,26953125;
48;0,280000001192093;4,00589650340066E-09;69896960;503,337890625;
49;0,270000010728836;-2,23771863261391E-08;-12065861;513,40625;
50;0,259999990463257;-9,19589648873398E-09;-28273480;523,4755859375;
51;0,25;-3,20265165498768E-08;-7806031,5;533,544921875;
52;0,239999994635582;-3,98699917525391E-08;-6019564,5;543,6142578125;
53;0,230000004172325;-1,81646768737664E-08;-12661938;553,681640625;
54;0,219999998807907;-1,67589515598365E-08;-13127313;563,7509765625;
55;0,209999993443489;-4,17026839727441E-08;-5035647;573,8193359375;
56;0,200000002980232;-4,475452897168E-08;-4468821,5;583,8876953125;
57;0,189999997615814;-5,98004419316567E-08;-3177234;593,95703125;
58;0,180000007152557;-6,70340796204982E-08;-2685201,5;604,025390625;
59;0,170000001788139;-5,64512774303694E-08;-3011446,5;614,09375;
60;0,159999996423721;-7,13343837333014E-08;-2242957,5;624,162109375;
61;0,150000005960464;-7,62437366574886E-08;-1967374,75;634,23046875;
62;0,140000000596046;-8,71716352435215E-08;-1606027;644,2978515625;
63;0,129999995231628;-1,15058469418727E-07;-1129860,25;654,3671875;
64;0,119999997317791;-1,0226970914573E-07;-1173368;664,4345703125;
65;0,109999999403954;-9,99708689164436E-08;-1100320,5;674,50390625;
66;0,100000001490116;-1,25718969457012E-07;-795424,9375;684,5712890625;
67;0,0900000035762787;-1,46382987509242E-07;-614825,5625;694,6396484375;
68;0,0799999982118607;-1,702063485709E-07;-470017,71875;704,7080078125;
69;0,0700000002980232;-2,01820895995297E-07;-346842,1875;714,7763671875;
70;0,0599999986588955;-2,50894089504072E-07;-239144,734375;724,8466796875;
71;0,0500000007450581;-2,71983680022458E-07;-183834,5625;734,9150390625;
72;0,0399999991059303;-3,2554012818764E-07;-122872,7109375;744,982421875;
73;0,0299999993294477;-3,95184059698295E-07;-75913,9921875;755,05078125;
74;0,0199999995529652;-4,6760675331825E-07;-42770,98046875;765,1201171875;
75;0,00999999977648258;-5,61313527214224E-07;-17815,35546875;775,1875;
76;0;-6,58919134366442E-07;0;785,2578125;
77;-0,00999999977648258;-7,72927364778297E-07;12937,826171875;795,3271484375;
78;-0,0199999995529652;-9,28903773456113E-07;21530,755859375;805,390625;
