Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-0,75;-6,66350388200954E-05;11255,33984375;9,986328125;
2;-0,740000009536743;-6,31120201433077E-05;11725,18359375;20,056640625;
3;-0,730000019073486;-5,92781943851151E-05;12314,8154296875;30,1259765625;
4;-0,720000028610229;-5,67700044484809E-05;12682,7548828125;40,1943359375;
5;-0,709999978542328;-5,48368734598625E-05;12947,4921875;50,2646484375;
6;-0,699999988079071;-5,32552658114582E-05;13144,240234375;60,333984375;
7;-0,689999997615814;-5,15588289999869E-05;13382,7705078125;70,4052734375;
8;-0,680000007152557;-4,99022135045379E-05;13626,650390625;80,474609375;
9;-0,670000016689301;-4,83709372929297E-05;13851,29296875;90,5458984375;
10;-0,660000026226044;-4,69791339128278E-05;14048,791015625;100,615234375;
11;-0,649999976158142;-4,57095557067078E-05;14220,220703125;110,68359375;
12;-0,639999985694885;-4,44491051894147E-05;14398,490234375;120,751953125;
13;-0,629999995231628;-4,31301305070519E-05;14606,9580078125;130,822265625;
14;-0,620000004768372;-4,19020179833751E-05;14796,423828125;140,8916015625;
15;-0,610000014305115;-4,08050182159059E-05;14949,1416015625;150,9599609375;
16;-0,600000023841858;-3,97314761357848E-05;15101,3779296875;161,03125;
17;-0,589999973773956;-3,8720725569874E-05;15237,3173828125;171,099609375;
18;-0,579999983310699;-3,78206932509784E-05;15335,51953125;181,169921875;
19;-0,569999992847443;-3,67387583537493E-05;15514,9501953125;191,2392578125;
20;-0,560000002384186;-3,57058997906279E-05;15683,6826171875;201,30859375;
21;-0,550000011920929;-3,47585300914943E-05;15823,4541015625;211,3779296875;
22;-0,540000021457672;-3,37047094944865E-05;16021,5009765625;221,44921875;
23;-0,529999971389771;-3,26817134919111E-05;16217,01953125;231,517578125;
24;-0,519999980926514;-3,1714796932647E-05;16396,130859375;241,5869140625;
25;-0,509999990463257;-3,07593036268372E-05;16580,349609375;251,6572265625;
26;-0,5;-3,00042465823935E-05;16664,30859375;261,7255859375;
27;-0,490000009536743;-2,93872581096366E-05;16673,892578125;271,794921875;
28;-0,479999989271164;-2,84138477582019E-05;16893,171875;281,8642578125;
29;-0,469999998807907;-2,74156300292816E-05;17143,505859375;291,9326171875;
30;-0,46000000834465;-2,64663576672319E-05;17380,556640625;302,00390625;
31;-0,449999988079071;-2,57743959082291E-05;17459,1875;312,0732421875;
32;-0,439999997615814;-2,50660959864035E-05;17553,591796875;322,142578125;
33;-0,430000007152557;-2,42997812165413E-05;17695,6328125;332,2119140625;
34;-0,419999986886978;-2,34244980674703E-05;17929,9453125;342,2802734375;
35;-0,409999996423721;-2,25382136704866E-05;18191,326171875;352,3486328125;
36;-0,400000005960464;-2,16384996747365E-05;18485,5703125;362,41796875;
37;-0,389999985694885;-2,07110369956354E-05;18830,5390625;372,4873046875;
38;-0,379999995231628;-1,98642192117404E-05;19129,873046875;382,556640625;
39;-0,370000004768372;-1,90323662536684E-05;19440,568359375;392,626953125;
40;-0,360000014305115;-1,8227385226055E-05;19750,501953125;402,6953125;
41;-0,349999994039536;-1,74411779880757E-05;20067,451171875;412,7646484375;
42;-0,340000003576279;-1,70226412592456E-05;19973,3984375;422,83203125;
43;-0,330000013113022;-1,63716558745364E-05;20156,7890625;432,9013671875;
44;-0,319999992847443;-1,55472444021143E-05;20582,42578125;442,9697265625;
45;-0,310000002384186;-1,47283308251644E-05;21047,87109375;453,0380859375;
46;-0,300000011920929;-1,39365765789989E-05;21526,08984375;463,107421875;
47;-0,28999999165535;-1,31665838125627E-05;22025,455078125;473,177734375;
48;-0,280000001192093;-1,24421112559503E-05;22504,21875;483,2470703125;
49;-0,270000010728836;-1,19542237371206E-05;22586,16015625;493,3173828125;
50;-0,259999990463257;-1,12873667603708E-05;23034,6015625;503,3876953125;
51;-0,25;-1,0654647667252E-05;23463,939453125;513,45703125;
52;-0,239999994635582;-9,95217124000192E-06;24115,33984375;533,576171875;
53;-0,230000004172325;-9,2427490017144E-06;24884,37109375;543,64453125;
54;-0,219999998807907;-8,56192764331354E-06;25695,1484375;553,71484375;
55;-0,209999993443489;-7,91597085481044E-06;26528,646484375;563,7841796875;
56;-0,200000002980232;-7,30686178940232E-06;27371,533203125;573,8525390625;
57;-0,189999997615814;-6,72795385980862E-06;28240,3828125;583,921875;
58;-0,180000007152557;-6,19642196397763E-06;29049,0234375;593,990234375;
59;-0,170000001788139;-5,67754523217445E-06;29942,517578125;604,0595703125;
60;-0,159999996423721;-5,18191154696979E-06;30876,63671875;614,1279296875;
61;-0,150000005960464;-4,72047804578324E-06;31776,443359375;624,1953125;
62;-0,140000000596046;-4,28401244789711E-06;32679,64453125;634,2646484375;
63;-0,129999995231628;-3,88209946322604E-06;33487,03515625;644,333984375;
64;-0,119999997317791;-3,50081904798571E-06;34277,69140625;654,404296875;
65;-0,109999999403954;-3,14749422614113E-06;34948,4375;664,4736328125;
66;-0,100000001490116;-2,81840084426221E-06;35481,11328125;674,54296875;
67;-0,0900000035762787;-2,51010578722344E-06;35855,0625;684,61328125;
68;-0,0799999982118607;-2,2360745788319E-06;35776,98046875;694,681640625;
69;-0,0700000002980232;-1,97873441720731E-06;35376,1484375;704,75;
70;-0,0599999986588955;-1,75721743289614E-06;34144,890625;714,8193359375;
71;-0,0500000007450581;-1,54818360442732E-06;32295,912109375;724,8876953125;
